,36x8y5r60s0_5.png,36x8y5r60s1_75.png,36x8y5r90s1_75.png,36x8y5r90s2.png,36x8y5r0s1_25.png,36x8y5r60s0_75.png,36x8y5r0s1_0.png,36x8y5r150s0_75.png,36x8y5r30s1_25.png,36x8y5r240s1_25.png,36x8y5r210s1_5.png,36x8y5r150s1_0.png,36x8y5r0s0_75.png,36x8y5r90s1_0.png,36x8y5r270s1_0.png,36x8y5r30s1_5.png,36x8y5r180s1_75.png,36x8y5r240s0_5.png,36x8y5r150s0_5.png,36x8y5r150s1_75.png,36x8y5r330s1_75.png,36x8y5r0s1_75.png,36x8y5r210s1_75.png,36x8y5r90s0_75.png,36x8y5r120s1_0.png,36x8y5r120s2.png,36x8y5r60s1_0.png,36x8y5r270s1_5.png,36x8y5r210s0_5.png,36x8y5r240s1_75.png,36x8y5r300s1_0.png,36x8y5r60s1_25.png,36x8y5r240s1_0.png,36x8y5r210s1_0.png,36x8y5r210s0_75.png,36x8y5r180s0_5.png,36x8y5r180s1_25.png,36x8y5r300s0_75.png,36x8y5r180s0_75.png,36x8y5r120s1_75.png,36x8y5r120s1_5.png,36x8y5r30s2.png,36x8y5r0s0_5.png,36x8y5r180s1_5.png,36x8y5r150s1_5.png,36x8y5r330s1_25.png,36x8y5r90s0_5.png,36x8y5r30s0_5.png,36x8y5r330s1_0.png,36x8y5r300s1_25.png,36x8y5r30s0_75.png,36x8y5r120s0_5.png,36x8y5r330s2.png,36x8y5r330s0_75.png,36x8y5r150s2.png,36x8y5r330s0_5.png,36x8y5r90s1_25.png,36x8y5r90s1_5.png,36x8y5r150s1_25.png,36x8y5r270s2.png,36x8y5r270s1_25.png,36x8y5r270s1_75.png,36x8y5r210s2.png,36x8y5r210s1_25.png,36x8y5r30s1_0.png,36x8y5r180s1_0.png,36x8y5r270s0_5.png,36x8y5r330s1_5.png,36x8y5r0s1_5.png,36x8y5r300s0_5.png,36x8y5r0s2.png,36x8y5r270s0_75.png,36x8y5r300s1_75.png,36x8y5r300s1_5.png,36x8y5r300s2.png,36x8y5r240s2.png,36x8y5r60s2.png,36x8y5r180s2.png,36x8y5r240s0_75.png,36x8y5r60s1_5.png,36x8y5r120s1_25.png,36x8y5r240s1_5.png,36x8y5r120s0_75.png,36x8y5r30s1_75.png,Mean,StDev,StDev/Mean
1_1_1,4.11191725949164e-05,1.336483883553087e-05,1.578480896935813e-05,1.4035053126305369e-05,1.9586677977253357e-05,2.674514262699382e-05,3.7823741129889366e-05,1.5142654810977385e-05,3.408293025356334e-05,1.1206361549406608e-05,1.3418618696566872e-05,2.801497791505709e-05,4.999288421434944e-05,2.4877561950118145e-05,2.3595355512143707e-05,1.9261101236337615e-05,1.1277622759676016e-05,4.158318673567361e-05,4.441727821534413e-05,1.1839595780867383e-05,1.4867909430638479e-05,1.7027488471836992e-05,1.1535583114257769e-05,3.918416812807844e-05,2.7847604920845186e-05,1.5424031096668145e-05,4.158941425882088e-05,1.1608811497721952e-05,2.914689762698346e-05,1.3350148817331789e-05,2.34342150697475e-05,3.1059438429904606e-05,1.0748681285969593e-05,1.0838831114616456e-05,1.34495824952072e-05,2.7898795163612878e-05,1.7420746441383434e-05,2.3634299056989284e-05,1.2974450916824026e-05,1.740015458097735e-05,2.1143822062746855e-05,1.7731171108901706e-05,8.244192725883004e-05,1.2992239678250618e-05,1.5114826888570546e-05,2.4682880611904816e-05,8.676684339563865e-05,8.745447865451264e-05,2.4323633726332804e-05,2.3533818422074326e-05,5.2496599382729986e-05,9.299342584344065e-05,1.3757498439537009e-05,3.8338707468004316e-05,1.5388048513141437e-05,3.8202323176165365e-05,2.6201878949656248e-05,1.9143640718329222e-05,1.7574985387646423e-05,1.3361666050757814e-05,1.0791545664316466e-05,1.249684862740899e-05,1.0718256540688567e-05,1.0752761215787034e-05,3.984829946796388e-05,1.0649176332372051e-05,2.3702951865056466e-05,1.2969688039928616e-05,1.7764278009197418e-05,2.3713627597999525e-05,1.675460262829615e-05,2.375648472757159e-05,1.2467405759886637e-05,1.1622912045662551e-05,1.3335660058199418e-05,1.0637032035731074e-05,1.8474185885807062e-05,1.0616154670865047e-05,2.663785261053074e-05,1.4082932484258573e-05,2.1972060086716675e-05,1.4008553882090538e-05,4.2638141975939076e-05,1.8120437881492577e-05,2.452127479332955e-05,1.7447255121885095e-05,0.7115150117167326
2_0_0,2.9875834992687014,2.98765553851582,2.9876455800034787,2.9876582151215954,2.987647452838603,2.9876265753644953,2.987622223107666,2.987644873571779,2.987625593176589,2.9876558854847874,2.9876521196272177,2.987646642537425,2.987586003906815,2.987644762183401,2.9876410648041873,2.9876448554208994,2.98765086476282,2.987573681066322,2.9875741288559436,2.987658065683293,2.9876515725343147,2.98764189664191,2.9876573802899546,2.9876070137231996,2.987658479891232,2.9876696177343387,2.9876268714442276,2.987650876974025,2.987597370835644,2.98765293159656,2.9876598283296785,2.9876297841883503,2.9876685223227453,2.9876684140512264,2.987646266675582,2.987598095269911,2.9876511839594575,2.9876405038375307,2.9876423187564707,2.9876632279270208,2.9876555767332533,2.9876526173504687,2.987514997946585,2.9876505570165066,2.987650936180341,2.9876367085599136,2.9875157724002306,2.987514508495393,2.9876487684793696,2.9876502874041138,2.987590695817362,2.987525306567406,2.9876581931621176,2.987605558277746,2.9876574358133743,2.9875766439499882,2.987639671575927,2.987643295423341,2.987650099666521,2.9876564209788805,2.987658310872709,2.9876473037989357,2.9876620091098776,2.987658776527202,2.9876271655456996,2.9876636041114906,2.987599214406557,2.9876518986467,2.9876430026715517,2.9876187166466233,2.9876524649470166,2.987622719011552,2.987667622970158,2.9876663645682577,2.987670126885712,2.987662941546547,2.987653478198038,2.9876619756740497,2.9876206381354753,2.9876526084129593,2.987656831610636,2.987649666755686,2.987618964936322,2.9876487930198654,2.9876351075368297,3.5161875664821555e-05,1.176913324392246e-05
2_0_2,8.925655165102615,8.926085616824249,8.926026111714325,8.92610161038356,8.926037302452986,8.925912553824183,8.925886548006792,8.926021890579726,8.925906685003767,8.926087690071888,8.926065187913013,8.926032460665148,8.925670130739897,8.926021225001909,8.925999132104296,8.926021782122971,8.926057689718029,8.925596499800168,8.925599175409348,8.926100717442441,8.926061918866765,8.926004102570072,8.926096622001033,8.925795668448059,8.926103192465984,8.926169744732848,8.925914322975622,8.926057762683659,8.925738050224053,8.926070039677514,8.926111249814925,8.925931727369322,8.926163199278179,8.926162552319365,8.926030214780543,8.925742378860395,8.926059597014344,8.92599578017058,8.926006624824547,8.926131563507308,8.926085845185304,8.926068161961107,8.92524586295578,8.926055850841044,8.92605811645927,8.925973102334709,8.925250490340144,8.92524293847047,8.926045163796292,8.926054239825882,8.92569816573447,8.925307457380676,8.926101479168725,8.925786971852082,8.926096953770944,8.925614203475472,8.92599080717431,8.926012460688042,8.92605311803737,8.926090889816338,8.926102182526767,8.926036411897051,8.926124280678469,8.92610496496002,8.92591608030663,8.926133811332459,8.925749065922677,8.926063867487228,8.926010711412289,8.925865596057216,8.926067251303985,8.92588951115398,8.926157825344157,8.92615030597251,8.926172787085285,8.926129852290575,8.926073305788838,8.926124080888565,8.925877077413022,8.92606810855676,8.926093343469704,8.926050531265364,8.925867079647185,8.926045310433059,8.92596353702296,0.0002100992869727209,2.353799520928745e-05
2_2_2,1.388196415937127e-06,1.4212590296441385e-06,1.4385956406225234e-06,1.4362095350074629e-06,1.428991137511355e-06,1.4001498497576566e-06,1.4363935991112113e-06,1.4348594448460649e-06,1.3903557224832621e-06,1.428979356706585e-06,1.4316319269314728e-06,1.444644604689307e-06,1.416293853986496e-06,1.4170810633650813e-06,1.4664400544221965e-06,1.4151093626734057e-06,1.445857215030943e-06,1.3821090492927219e-06,1.4846051453528352e-06,1.4274483153383582e-06,1.432533726000629e-06,1.4394960226556472e-06,1.4262152990010392e-06,1.4037923696298187e-06,1.4164030419824384e-06,1.4230911098366602e-06,1.3839758959459337e-06,1.4486615502589126e-06,1.4485946517852937e-06,1.4248492893176283e-06,1.4312292366417659e-06,1.3929204918614886e-06,1.4241042184669154e-06,1.4236306085087232e-06,1.4301584078297739e-06,1.4791686524923866e-06,1.4563583350401554e-06,1.4336287218152072e-06,1.447907899523028e-06,1.4286753116848421e-06,1.4394427384304913e-06,1.4125352768551828e-06,1.3614653927298343e-06,1.4503320201813752e-06,1.4356469578536083e-06,1.4210059341123006e-06,1.3906039913662958e-06,1.306551123241815e-06,1.4077821444729075e-06,1.4349079243662284e-06,1.3539257202401313e-06,1.5073792755764674e-06,1.4221656926710766e-06,1.470826967562487e-06,1.4323089517124614e-06,1.4779069212466116e-06,1.4438164276809842e-06,1.441073817961713e-06,1.4304376844955867e-06,1.4475359113603628e-06,1.4451486603179036e-06,1.448739995027874e-06,1.4254972743007333e-06,1.4267109532484374e-06,1.3738806255368438e-06,1.4418072546179367e-06,1.4746078568727854e-06,1.4331244309110561e-06,1.4365916912932127e-06,1.4333406418290727e-06,1.440926879104338e-06,1.467761029713384e-06,1.4260072845925903e-06,1.4287366449211919e-06,1.4253903988770106e-06,1.424996607129714e-06,1.415204257604655e-06,1.442714931229624e-06,1.4255728170491655e-06,1.4248750070732361e-06,1.4143653579169373e-06,1.4231294553137169e-06,1.4357098639248272e-06,1.4118740935108758e-06,1.4281544053455181e-06,2.857688838516101e-08,0.020009663015566802
3_1_1,0.00016365465724133615,5.3255668087010475e-05,6.297321864105603e-05,5.5954149966577784e-05,7.785710384272544e-05,0.00010626264718349907,0.00014985125214482853,6.0735834059650664e-05,0.00013528837526941882,4.4655089937913825e-05,5.382514875112943e-05,0.00011196928183448484,0.00019816285685043895,9.896770168487464e-05,9.349037570293233e-05,7.672105672762578e-05,4.518328798871015e-05,0.00016576341128061008,0.00017760891551885864,4.7457994454148406e-05,5.901489605924123e-05,6.759367592845112e-05,4.6232635178710465e-05,0.00015595498784248916,0.00011106101287985461,6.162751126423669e-05,0.00016553249463596156,4.623174990736922e-05,0.00011672723701446766,5.326711818991794e-05,9.283440248693243e-05,0.00012352067619909646,4.300791811495308e-05,4.3383391078584645e-05,5.3948556252029836e-05,0.00011169443571306715,6.984286129738416e-05,9.361678504074547e-05,5.202662919410075e-05,6.957144746039467e-05,8.456111909790013e-05,7.05290984752006e-05,0.0003270763446003641,5.209821490130831e-05,6.062611949166219e-05,9.785218634503009e-05,0.0003453492097331313,0.0003476417561772787,9.651344874861385e-05,9.322380367084396e-05,0.00020856697367327632,0.00037057102395557406,5.4727799029578714e-05,0.0001517825789176011,6.161161826583412e-05,0.0001512359987335151,0.00010457872800101024,7.640610719854416e-05,7.025186812936092e-05,5.3105131012919176e-05,4.30630478482602e-05,4.970934077927167e-05,4.289711341888176e-05,4.29193379372429e-05,0.00015824225010007656,4.2611933008737e-05,9.390748877314558e-05,5.154670459822972e-05,7.055718979228665e-05,9.393144952635537e-05,6.648222357712878e-05,9.412040062825845e-05,4.95874038718348e-05,4.628301433801968e-05,5.2990874698395846e-05,4.2556311211133805e-05,7.36600655478697e-05,4.247442482956269e-05,0.00010597483678394788,5.621773116793903e-05,8.7575267873026e-05,5.6010473474021567e-05,0.0001700497713392101,7.212703393961171e-05,9.762063412055726e-05,6.932597437625941e-05,0.7101569765531828
3_1_3,0.0006513469300715067,0.00021221102762973714,0.0002512305517103451,0.00022307481634068139,0.0003094822218355056,0.0004221981667447929,0.0005936852648250624,0.00024360599808742028,0.0005370120569702346,0.00017794152442536187,0.0002159049827403203,0.0004475149012268907,0.0007854821431538116,0.0003937124544770684,0.0003704309665763263,0.00030559626228945474,0.00018102480965850008,0.0006607840975259393,0.0007101949542889309,0.00019023126120991412,0.00023424664867180894,0.00026832524556262766,0.0001852924585083072,0.0006207088065121486,0.00044293032082864215,0.0002462358977896538,0.0006588457007324418,0.000184116582469873,0.0004674682031482418,0.00021253589896878596,0.00036776253266666907,0.0004912309500738417,0.00017208446053721256,0.00017364590347194634,0.00021639680805821105,0.00044717511620472777,0.0002800124145437171,0.00037082133979232033,0.00020862309801415762,0.0002781691552916414,0.00033818780927445517,0.00028054287566077533,0.0012976277818114459,0.0002089111702924163,0.00024317356670466687,0.00038792272762054955,0.0013745582067503598,0.001381916541009377,0.0003829545327870581,0.0003692846360498962,0.0008286285782072878,0.0014766945356618323,0.00021770905515892285,0.000600905789067203,0.00024668439939561396,0.0005987156123320257,0.0004174017585274267,0.0003049520884314282,0.00028081531032931564,0.00021106312110976338,0.0001718406378164556,0.0001977313348655073,0.00017168485683159338,0.0001713113061849416,0.0006283984524074016,0.00017050866452660517,0.0003720471820507347,0.00020486712916741685,0.00028024313900104733,0.0003720694850949993,0.0002638013058152018,0.00037289396625850936,0.00019722712728737044,0.00018430126699726105,0.0002105657154611236,0.00017025798341260725,0.00029369658235846145,0.00016993693296060166,0.0004216055323823128,0.0002244158523946123,0.00034905363961155604,0.00022394696591736303,0.0006781938281652989,0.00028709620920581123,0.0003886385491189452,0.0002754703991636915,0.708808737033912
3_3_3,1.4401213753329917e-09,1.063102115507079e-09,1.1553446907206737e-09,1.0569492867506955e-09,9.529540403324961e-10,1.0302526030145216e-09,5.984600642582818e-10,1.4077925741177777e-09,9.473892644020534e-10,9.544750510138125e-10,1.3298160344319582e-09,1.7360956034620611e-09,6.673522125622562e-10,1.113925471097168e-09,5.400553025926389e-10,1.179583219316588e-09,1.1420413719394594e-09,1.1198282798490675e-09,2.124205556554851e-09,1.2503926569169578e-09,7.83539821148089e-10,8.236773122045654e-10,1.2279819305304207e-09,1.3846065696161804e-09,1.5892924498592508e-09,1.3668977328369587e-09,1.4614097456210168e-09,8.392180915633295e-10,1.7670729230929614e-09,9.710636554519643e-10,7.20174805424882e-10,1.1995251602689216e-09,1.1325475461343714e-09,1.1582243879751273e-09,1.3279697140205023e-09,1.7074956609065505e-09,1.4313848355788138e-09,7.067858527959781e-10,1.2652325588042548e-09,1.4774154340748341e-09,1.6218525153085643e-09,1.0437345296645483e-09,8.198111831285502e-10,1.239389188104724e-09,1.4106953158435505e-09,7.578535140583705e-10,1.9759963630541983e-09,1.535191835722043e-09,8.653075077549397e-10,7.152160524012025e-10,1.1817166081442332e-09,2.800312539895508e-09,9.619314165456323e-10,4.182188379369991e-10,1.3929557365430374e-09,4.052058065243216e-10,1.4607230280465645e-09,1.2595764633492051e-09,1.3913090817567046e-09,7.688818868229261e-10,9.218547741196345e-10,8.104017817572574e-10,1.142974436827519e-09,1.0364253714712703e-09,1.039422512324545e-09,1.0599235333936336e-09,5.08872495597818e-10,8.377786882473199e-10,8.621848904480849e-10,7.076249627884385e-10,7.764175612950134e-10,5.339260777602476e-10,9.672231007868916e-10,1.0049636164245455e-09,9.329361152823952e-10,1.1129113916837138e-09,1.239187835083826e-09,1.0477480683012764e-09,8.11795215599493e-10,1.1814719175964478e-09,1.3821861929712552e-09,1.0707292264590885e-09,1.936551399694533e-09,1.1047768116672822e-09,1.133426432741306e-09,3.921410498075614e-10,0.3459783877274935
4_0_0,10.062323694334964,10.06196050404926,10.062011029153263,10.061947572677541,10.062002546404546,10.062107801195701,10.06213223905176,10.06201233728425,10.062113259427502,10.061958834572449,10.061976023518922,10.062002795136017,10.062315472199066,10.062015820475784,10.062036051224489,10.062014437253989,10.061983670319497,10.062371583679766,10.062366349909336,10.06194635263204,10.061981471721953,10.062031173680737,10.06194985567088,10.06220584231334,10.061944074461929,10.061888337837026,10.062104733029607,10.06198492215979,10.06225009639073,10.061973196351003,10.061940542388205,10.062090938539272,10.061894092666678,10.061894517919228,10.062005479887125,10.06224754529132,10.061980612880674,10.062038272389636,10.062026285528205,10.06191994243809,10.061958138696864,10.061975805035681,10.062674157035598,10.06198471824499,10.061981701959336,10.062057470961042,10.062664799798041,10.06267289375409,10.061996094806757,10.061988822289878,10.062289068068834,10.062612694946495,10.061947693629861,10.062216209162532,10.061949471069264,10.062361990020511,10.06203962626509,10.062022153783177,10.061986668215203,10.061957370274216,10.061946822375937,10.062003192311133,10.06192711833285,10.061943880681433,10.062105063048477,10.061919618566462,10.062247341236707,10.06197961403388,10.062025447394573,10.062148041921976,10.061977946385102,10.062128791684483,10.061899619767356,10.061905881434345,10.061887392857157,10.06192253891144,10.061970613082497,10.061927992420754,10.062136748292708,10.061974886539632,10.061953178044204,10.061989175740695,10.062142535845481,10.061994681624883,10.062063642602348,0.00017755151774832479,1.764563652694257e-05
4_0_2,30.062032233495604,30.06167202825018,30.06172277719601,30.06166032563286,30.061716278221063,30.06182067103469,30.06184988923913,30.061719577303275,30.06182709530712,30.061670531616024,30.061683994304566,30.061708868090307,30.062032871636944,30.061728863050988,30.061752102178442,30.06172566863272,30.061694213859436,30.0620765125113,30.06206538205974,30.06165517691372,30.061694766801235,30.061745899805548,30.06165874640255,30.0619167480219,30.061652538257512,30.06159808399114,30.061814483685403,30.06169807679011,30.061951932667654,30.061683717724065,30.06165555353498,30.061802579191625,30.06160425560542,30.061604436702453,30.06171310725401,30.061951600446672,30.061688291050043,30.061753093754696,30.061735543084055,30.061628214367847,30.06166534593422,30.061688349631943,30.062389963593347,30.061694248156233,30.06168905168828,30.061772263882713,30.062369801773247,30.062381264333666,30.061710241093632,30.061703796771333,30.0620011983872,30.06231007633911,30.061660466041907,30.061933075086408,30.061658156018535,30.062077664355396,30.061748764398597,30.061733026151437,30.061695472136353,30.061671544915548,30.061659047430716,30.061716708324653,30.061637389875475,30.06165494404206,30.061818428938555,30.06163103188638,30.061962251843255,30.0616924980127,30.0617399206115,30.061861819715272,30.061693213759973,30.061844579656825,30.061611719554687,30.061617765412922,30.061600383727285,30.06163309021768,30.061681499702377,30.061639664925814,30.061847412940676,30.06168551555583,30.061663151730116,30.061698607801024,30.061847867984426,30.061706265928898,30.061774586665972,0.00017670104747893333,5.877931356630884e-06
4_2_2,6.883405857112991e-06,7.046174797069072e-06,7.1322360343547104e-06,7.120262650061123e-06,7.084561901077081e-06,6.941701934007995e-06,7.1201937190302575e-06,7.1135400242005275e-06,6.893114727766854e-06,7.083886701008512e-06,7.097456257326772e-06,7.163303355481778e-06,7.020508447560288e-06,7.025886705039256e-06,7.268512633894992e-06,7.0161130979105935e-06,7.167709956919448e-06,6.849828482188008e-06,7.3605999453997305e-06,7.076730873059914e-06,7.101247738645845e-06,7.1359638686287e-06,7.070587539076516e-06,6.960527558264179e-06,7.0234060202763544e-06,7.055771661570864e-06,6.862720585363948e-06,7.181113780148069e-06,7.181578816941767e-06,7.063024646950153e-06,7.094914100691284e-06,6.906355411539526e-06,7.060064074738325e-06,7.057800171512851e-06,7.090135935333769e-06,7.333614470751876e-06,7.220474104603751e-06,7.106624854761745e-06,7.178075340231567e-06,7.083654489021702e-06,7.137200727599682e-06,7.00304569016923e-06,6.74875485586485e-06,7.190162521172712e-06,7.117511691985875e-06,7.044382600370506e-06,6.896464276965979e-06,6.47889626390718e-06,6.979249599655946e-06,7.113075355532944e-06,6.713061525815764e-06,7.476106078037975e-06,7.050427647425979e-06,7.290026672476117e-06,7.10132796836729e-06,7.324977153492134e-06,7.159068757243797e-06,7.1448871811960085e-06,7.092262898399103e-06,7.175377079320232e-06,7.164012915243364e-06,7.181334282425772e-06,7.066928644911585e-06,7.072897109815688e-06,6.8117657271969365e-06,7.1476286926397075e-06,7.308698629661799e-06,7.1042336039818574e-06,7.1218116649461215e-06,7.105143156558599e-06,7.1430097166847196e-06,7.274878506491874e-06,7.069343897569426e-06,7.082869335177164e-06,7.066209004770856e-06,7.064372355581177e-06,7.016645588949913e-06,7.1520730591310516e-06,7.065606410150132e-06,7.064316836885676e-06,7.01285358775826e-06,7.054528252055011e-06,7.119601919805948e-06,6.999950942353076e-06,7.080242424467473e-06,1.4144610289558332e-07,0.019977579073674433
