,36x8y5r60s0_5.png,36x8y5r60s1_75.png,36x8y5r90s1_75.png,36x8y5r90s2.png,36x8y5r0s1_25.png,36x8y5r60s0_75.png,36x8y5r0s1_0.png,36x8y5r150s0_75.png,36x8y5r30s1_25.png,36x8y5r240s1_25.png,36x8y5r210s1_5.png,36x8y5r150s1_0.png,36x8y5r0s0_75.png,36x8y5r90s1_0.png,36x8y5r270s1_0.png,36x8y5r30s1_5.png,36x8y5r180s1_75.png,36x8y5r240s0_5.png,36x8y5r150s0_5.png,36x8y5r150s1_75.png,36x8y5r330s1_75.png,36x8y5r0s1_75.png,36x8y5r210s1_75.png,36x8y5r90s0_75.png,36x8y5r120s1_0.png,36x8y5r120s2.png,36x8y5r60s1_0.png,36x8y5r270s1_5.png,36x8y5r210s0_5.png,36x8y5r240s1_75.png,36x8y5r300s1_0.png,36x8y5r60s1_25.png,36x8y5r240s1_0.png,36x8y5r210s1_0.png,36x8y5r210s0_75.png,36x8y5r180s0_5.png,36x8y5r180s1_25.png,36x8y5r300s0_75.png,36x8y5r180s0_75.png,36x8y5r120s1_75.png,36x8y5r120s1_5.png,36x8y5r30s2.png,36x8y5r0s0_5.png,36x8y5r180s1_5.png,36x8y5r150s1_5.png,36x8y5r330s1_25.png,36x8y5r90s0_5.png,36x8y5r30s0_5.png,36x8y5r330s1_0.png,36x8y5r300s1_25.png,36x8y5r30s0_75.png,36x8y5r120s0_5.png,36x8y5r330s2.png,36x8y5r330s0_75.png,36x8y5r150s2.png,36x8y5r330s0_5.png,36x8y5r90s1_25.png,36x8y5r90s1_5.png,36x8y5r150s1_25.png,36x8y5r270s2.png,36x8y5r270s1_25.png,36x8y5r270s1_75.png,36x8y5r210s2.png,36x8y5r210s1_25.png,36x8y5r30s1_0.png,36x8y5r180s1_0.png,36x8y5r270s0_5.png,36x8y5r330s1_5.png,36x8y5r0s1_5.png,36x8y5r300s0_5.png,36x8y5r0s2.png,36x8y5r270s0_75.png,36x8y5r300s1_75.png,36x8y5r300s1_5.png,36x8y5r300s2.png,36x8y5r240s2.png,36x8y5r60s2.png,36x8y5r180s2.png,36x8y5r240s0_75.png,36x8y5r60s1_5.png,36x8y5r120s1_25.png,36x8y5r240s1_5.png,36x8y5r120s0_75.png,36x8y5r30s1_75.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000004,1.0,0.9999999999999997,1.0000000000000007,1.0000000000000002,0.9999999999999997,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999997,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999994,1.0,0.9999999999999993,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999997,0.9999999999999998,1.0,0.9999999999999997,1.0,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999997,1.0,0.9999999999999996,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999997,1.0,1.0,0.9999999999999994,0.9999999999999997,1.0000000000000002,0.9999999999999999,1.0000000000000004,1.0000000000000002,1.0,2.5119142783167414e-16,2.5119142783167414e-16
1_1_1,9.045437796172486e-06,1.1429568293714644e-40,9.799101162822645e-41,7.286620605247395e-49,1.5827857828485557e-24,4.3494606509786766e-08,1.2109331054489126e-16,5.66171854954743e-08,2.1146006604829948e-24,1.3480461315529456e-24,1.41215423746463e-32,6.897057700915374e-17,2.389571705190672e-08,9.368446954557734e-17,1.0028852220959551e-16,1.540798201751875e-32,1.0335440478234233e-40,8.87215988502269e-06,1.01909415567645e-05,9.70615313878026e-41,1.437588066788207e-40,1.1775231477306487e-40,1.0232769238084714e-40,5.0687699697877185e-08,8.830983898979252e-17,1.8242923781699878e-48,9.79649751031874e-17,1.614981432230498e-32,7.789634841589494e-06,1.209430642605453e-40,1.0549875238361484e-16,1.4700190862861244e-24,7.92443978258552e-17,7.955521420636946e-17,5.39129438914555e-08,6.719241463825197e-06,1.0212893632650387e-24,2.9165958753431503e-08,5.417527005691417e-08,1.202583246119417e-40,1.1759595717135263e-32,6.6638206147963485e-49,1.8701853776193237e-05,1.3149730796279657e-32,1.3650697752536678e-32,1.5155101356556495e-24,2.0431481183047764e-05,1.940024420745514e-05,1.080128160861218e-16,2.5290495926904157e-24,4.273152775563684e-08,2.2184004527049972e-05,8.79889129854792e-49,1.3785306892790745e-08,8.510152983884894e-49,8.639368359638842e-06,1.5263099040906661e-24,1.2993193015621925e-32,1.8354138198730747e-24,7.434903466893653e-49,1.676838806614985e-24,1.159161856498411e-40,8.221132697626802e-49,6.717497743658612e-25,1.1518751553031942e-16,7.547789068311344e-17,4.891323339599411e-06,1.7028955063714842e-32,1.6487451996621246e-32,4.4922694163934445e-06,7.406172617367723e-49,2.4798018247813416e-08,1.6380391496162653e-40,1.7286257579953478e-32,2.3622441663420774e-48,1.0813428514080354e-48,7.50217134499227e-49,7.429635246703755e-49,3.67376807709862e-08,1.5576707033812398e-32,5.308108191791662e-25,1.6059842153196821e-32,5.944947791319677e-08,1.1025986427897616e-40,1.688659663653842e-06,4.737334013824978e-06,2.8053811645945035
2_0_0,2.9520412785956056,3.000000000000001,3.0000000000000004,3.0,2.9999999999999996,2.9999981861456915,2.9999999999999893,2.999998144478457,2.9999999999999987,3.0000000000000018,3.0000000000000004,2.9999999999999876,2.9999980568811777,2.999999999999989,2.999999999999989,3.000000000000001,2.999999999999999,2.9519166411861186,2.9519843309095326,3.0,2.999999999999999,3.0,3.000000000000001,2.999998207701042,2.9999999999999876,3.0,2.9999999999999893,3.0,2.9520198191376683,2.999999999999999,2.999999999999988,3.0,2.9999999999999885,2.999999999999987,2.9999981607288237,2.9522232149880794,2.9999999999999996,2.999998063731095,2.9999982218425645,3.0000000000000004,3.0000000000000004,3.0000000000000004,2.9524993529931596,2.999999999999999,3.0,3.0000000000000013,2.9522658445107544,2.9520169849227544,2.9999999999999885,2.999999999999999,2.999998198280916,2.9519651078412097,2.999999999999999,2.999997909225781,3.000000000000001,2.95214234458861,2.9999999999999996,2.999999999999999,3.0,2.9999999999999987,3.0,3.0000000000000004,2.9999999999999996,2.999999999999999,2.9999999999999885,2.999999999999989,2.9524515071968382,2.999999999999999,2.9999999999999996,2.9520264932972546,2.9999999999999987,2.999998037322173,3.0,2.9999999999999996,3.0000000000000004,2.9999999999999982,3.0000000000000004,2.9999999999999996,2.999998069557479,3.0,3.0,2.9999999999999996,2.9999980608597836,3.000000000000001,2.9931610742490764,0.016751250529793593,0.005596508211305047
2_0_2,8.714547710532383,9.000000000000002,8.999999999999998,9.0,9.0,8.999989116877439,8.999999999999934,8.999988866874181,8.999999999999996,9.000000000000007,9.0,8.999999999999929,8.999988341290843,8.99999999999993,8.99999999999993,9.000000000000002,8.999999999999996,8.713811856511535,8.714211489935401,9.0,8.999999999999996,8.999999999999998,9.000000000000004,8.999989246209463,8.999999999999929,9.000000000000002,8.999999999999934,9.0,8.71442101258159,8.999999999999998,8.999999999999925,9.0,8.999999999999929,8.999999999999924,8.999988964376326,8.715621911114553,8.999999999999996,8.999988382390324,8.999989331058552,9.000000000000002,9.0,9.000000000000002,8.717252429425027,8.999999999999996,9.000000000000004,9.000000000000004,8.715873616664794,8.714404279272431,8.99999999999993,8.999999999999998,8.999989189688744,8.714097997911963,8.999999999999996,8.999987455359056,9.000000000000002,8.71514442271313,8.999999999999998,8.999999999999996,9.0,8.999999999999996,9.000000000000002,9.000000000000002,8.999999999999998,8.999999999999996,8.999999999999929,8.99999999999993,8.71696990234888,8.999999999999998,8.999999999999998,8.714460417128892,8.999999999999996,8.999988223936887,9.0,9.0,9.000000000000002,8.999999999999993,9.000000000000002,8.999999999999998,8.999988417348607,9.0,9.000000000000002,9.0,8.999988365162459,9.000000000000004,8.959293820794198,0.09970558020150715,0.011128732040252335
2_2_2,1.5278243545976545e-07,4.46170430873664e-80,4.1401266086717664e-80,1.334498291968681e-95,5.433048417678824e-47,6.772949480132183e-15,1.8268161217722632e-31,8.166660435620636e-15,4.700107229804238e-47,6.169583509284778e-47,3.7939178703837786e-64,2.17862550993615e-31,5.412853230187679e-15,1.8659965787076042e-31,2.0578815135260883e-31,4.1160717535738814e-64,4.527190799530635e-80,1.490646329503843e-07,1.7685769919837551e-07,4.631854518822238e-80,5.096001480328247e-80,4.426235538762234e-80,4.506603619883055e-80,6.588086245865523e-15,2.0463544128681022e-31,2.6948717577169458e-95,1.908307624835225e-31,3.727946678509633e-64,1.7416184238363218e-07,5.289772824029256e-80,2.062760250482412e-31,4.831082166941208e-47,2.232446931030125e-31,2.2259375401284314e-31,8.041004948609436e-15,1.7364518740185827e-07,4.439200421786484e-47,6.45093733266687e-15,7.69216538775462e-15,4.7338056365713176e-80,3.856830443420703e-64,1.8634821139148167e-95,1.6913933383854394e-07,3.716642220977762e-64,4.1254177606521985e-64,4.661537718803779e-47,1.4094606671801495e-07,1.57813013096908e-07,1.949157870811365e-31,3.898589012701067e-47,6.541148098866676e-15,1.6863145692435462e-07,1.7093329116265365e-95,5.7181875075899964e-15,1.4550731342739311e-95,1.7888372497490984e-07,4.895148246340963e-47,3.779189340886703e-64,5.16398943768936e-47,1.3340406224308814e-95,7.289590871144522e-47,4.654203375491056e-80,1.5204640663263382e-95,5.880742694181244e-47,1.8159391102207545e-31,2.09936652288514e-31,1.6611120396341622e-07,3.9065289544751944e-64,3.887602348533498e-64,1.5708378857705806e-07,1.44874775449005e-95,6.56716165653612e-15,5.44287804951361e-80,4.2019328684202845e-64,2.6065488461239346e-95,1.7861933032312966e-95,1.6648434567547963e-95,1.4362282618811139e-95,8.019280973790974e-15,4.123859813265766e-64,4.691962299661192e-47,4.244536569343549e-64,7.411548479586707e-15,4.493730235089427e-80,2.3394291296061965e-08,5.7470162034174514e-08,2.45658914420069
3_1_1,3.56877875911565e-05,4.5718273174858575e-40,3.919640465129058e-40,2.914648242098958e-48,6.331143131394223e-24,1.7397833995608646e-07,4.843732421795633e-16,2.2646862746534808e-07,8.458402641931979e-24,5.3921845262117825e-24,5.64861694985852e-32,2.7588230803661404e-16,9.558281756896004e-08,3.7473787818230817e-16,4.0115408883838065e-16,6.1631928070075e-32,4.134176191293693e-40,3.505964213532463e-05,4.0312531495841875e-05,3.882461255512104e-40,5.750352267152828e-40,4.710092590922595e-40,4.0931076952338854e-40,2.027506998140599e-07,3.5323935595916894e-16,7.297169512679951e-48,3.918599004127484e-16,6.459925728921992e-32,3.0834938746271476e-05,4.837722570421812e-40,4.2199500953445794e-16,5.880076345144498e-24,3.169775913034197e-16,3.182208568254767e-16,2.1565166746387448e-07,2.6596355830077664e-05,4.085157453060155e-24,1.1666377335620158e-07,2.1670097526715646e-07,4.810332984477668e-40,4.703838286854105e-32,2.6655282459185394e-48,7.368044737655887e-05,5.259892318511863e-32,5.460279101014671e-32,6.062040542622598e-24,8.062050615599885e-05,7.649673342711275e-05,4.3205126434448573e-16,1.0116198370761663e-23,1.7092602705126505e-07,8.758695758933673e-05,3.519556519419168e-48,5.514119609889182e-08,3.4040611935539574e-48,3.3997389883865366e-05,6.1052396163626644e-24,5.19727720624877e-32,7.341655279492299e-24,2.973961386757461e-48,6.70735522645994e-24,4.636647425993644e-40,3.2884530790507206e-48,2.6869990974634447e-24,4.607500621212761e-16,3.019115627324528e-16,1.9262738699626973e-05,6.811582025485937e-32,6.594980798648499e-32,1.7693800798388384e-05,2.962469046947089e-48,9.919201979605726e-08,6.552156598465061e-40,6.914503031981391e-32,9.44897666536831e-48,4.3253714056321417e-48,3.000868537996908e-48,2.971854098681502e-48,1.4695064562422595e-07,6.230682813524959e-32,2.1232432767166646e-24,6.423936861278729e-32,2.3779778635895895e-07,4.410394571159046e-40,6.664138503689457e-06,1.869159448633881e-05,2.8048028227490485
3_1_3,0.0001408022709183216,1.828730926994343e-39,1.5678561860516232e-39,1.1658592968395831e-47,2.532457252557689e-23,6.95913015492274e-07,1.937492968718247e-15,9.058740517954275e-07,3.3833610567727916e-23,2.156873810484713e-23,2.259446779943408e-31,1.1035292321464528e-15,3.823310677212801e-07,1.498951512729228e-15,1.6046163553535173e-15,2.465277122803e-31,1.6536704765174773e-39,0.0001385433223235794,0.00015946516683971573,1.5529845022048417e-39,2.3001409068611313e-39,1.884037036369038e-39,1.6372430780935542e-39,8.110024033466376e-07,1.4129574238366712e-15,2.9188678050719805e-47,1.5674396016509882e-15,2.583970291568797e-31,0.00012205879567164695,1.9350890281687247e-39,1.6879800381378259e-15,2.352030538057799e-23,1.2679103652136747e-15,1.2728834273019023e-15,8.62606237447925e-07,0.00010527470209969351,1.634062981224062e-23,4.6665484679483906e-07,8.668034812268284e-07,1.924133193791067e-39,1.881535314741642e-31,1.0662112983674158e-47,0.000290281829308308,2.103956927404745e-31,2.1841116404058685e-31,2.424816217049039e-23,0.00031812015754600784,0.00030163281257923727,1.7282050573779372e-15,4.046479348304665e-23,6.837037723200959e-07,0.0003458111059435681,1.4078226077676673e-47,2.2056465850655447e-07,1.361624477421583e-47,0.00013378553509945127,2.4420958465450658e-23,2.078910882499508e-31,2.9366621117969196e-23,1.1895845547029844e-47,2.682942090583976e-23,1.8546589703974577e-39,1.3153812316202882e-47,1.0747996389853779e-23,1.8430002484850985e-15,1.2076462509298074e-15,7.585945079649855e-05,2.7246328101943747e-31,2.6379923194593994e-31,6.969096411505827e-05,1.1849876187788356e-47,3.967678664035575e-07,2.6208626393860244e-39,2.7658012127925565e-31,3.779590666147324e-47,1.7301485622528567e-47,1.2003474151987632e-47,1.1887416394726009e-47,5.878022726581917e-07,2.4922731254099837e-31,8.492973106866658e-24,2.5695747445114914e-31,9.511906442607873e-07,1.7641578284636185e-39,2.6299491994966587e-05,7.374969893314102e-05,2.804225227896259
3_3_3,8.904522960321476e-11,1.1235677111045137e-119,1.1155858625601664e-119,1.8175551368818312e-142,1.0671937054346344e-69,1.1540512918252467e-21,2.0330740461326067e-46,1.2693170699756723e-21,1.0666108085775229e-69,8.419922190652476e-70,2.2621300292515614e-96,1.6780535988913818e-46,1.095042787557718e-21,1.745609579406575e-46,1.993146595668702e-46,7.216601684392761e-96,1.0609303493665179e-119,6.684209450792624e-11,1.4978934222665297e-10,1.0945991119256308e-119,1.1023906114803717e-119,1.055280994742264e-119,1.0975623604327175e-119,1.1164389416149743e-21,1.878871926030236e-46,2.9831829140552064e-142,1.755556074802752e-46,1.9936374172414807e-96,1.0384111569086035e-10,1.2331317618027307e-119,2.0572625880179926e-46,1.7245941513764484e-70,2.085054692740608e-46,1.9480648136056627e-46,1.2355984098265205e-21,1.0322681050364248e-10,1.2893253826619203e-69,1.1492663686276195e-21,1.1473246972325313e-21,1.530237658229565e-119,4.013645154023402e-96,3.1943072314900462e-142,6.465222121001605e-11,2.7884529444996793e-96,3.561234986818878e-96,1.0289244168344339e-69,1.0149854203059525e-10,1.1986100393097953e-10,2.0540128441831774e-46,1.9158910104164054e-69,1.1820375827705791e-21,1.9013209171632258e-10,2.9546802267796317e-142,1.04917831195393e-21,1.5407456463067589e-142,1.867348321650224e-11,1.0140530272592029e-69,4.796580257173709e-96,9.963590980952521e-70,2.7215705655143387e-142,9.455543822058212e-70,1.0040985713874113e-119,2.160738540134698e-142,5.688822545239735e-70,1.9860782556301616e-46,1.799249736951669e-46,4.8423221442243685e-11,3.129841654515589e-96,5.166343267073142e-96,4.5744860362629954e-11,3.0054968325916256e-142,1.1355009379870767e-21,1.2231589359715531e-119,2.873831494436775e-96,4.505372254002102e-142,2.6336606759704176e-142,2.0419174629171875e-142,2.326905065382666e-142,1.3108046712286684e-21,5.180904542571691e-96,4.1448512393422376e-70,2.249894204564159e-96,1.3090028566026906e-21,1.4223879761385527e-119,1.3115833529234997e-11,3.645075701219936e-11,2.779141480482439
4_0_0,4.763311575409601,5.000000000000001,5.0,5.0,5.0,4.999990930732455,4.999999999999943,4.999990722396462,4.999999999999999,5.000000000000002,5.000000000000001,4.999999999999941,4.99999028441048,4.999999999999943,4.999999999999941,5.000000000000001,5.0,4.762704955182559,4.763032693565253,5.0,4.999999999999998,5.0,5.000000000000001,4.999991038509111,4.9999999999999405,5.0,4.999999999999944,5.0,4.763205852115233,4.999999999999998,4.999999999999941,5.0,4.999999999999941,4.99999999999994,4.999990803648231,4.764195543915747,5.0,4.999990318660037,4.999991109216665,5.000000000000001,5.000000000000001,5.0,4.765540258514259,4.999999999999998,5.000000000000001,5.000000000000002,4.764403219454533,4.763192126811203,4.999999999999941,5.0,4.999990991408524,4.762938436993571,4.999999999999998,4.9999895461342225,5.000000000000001,4.763804403350047,4.999999999999999,4.999999999999999,5.0,4.999999999999998,5.0,5.0,5.0,4.999999999999999,4.9999999999999405,4.999999999999942,4.76530872046263,4.999999999999998,5.0,4.763242376349706,4.9999999999999964,4.999990186615547,5.0,5.0,5.0,4.999999999999998,5.0,5.0,4.99999034779193,4.999999999999998,5.000000000000001,5.0,4.999990304303488,5.000000000000002,4.96624722316608,0.08267391225495113,0.01664716002644848
4_0_2,14.061492393421412,15.000000000000002,14.999999999999998,15.0,14.999999999999996,14.999963722942272,14.99999999999977,14.999962889598883,14.999999999999995,15.000000000000007,15.000000000000004,14.999999999999767,14.99996113765621,14.99999999999977,14.999999999999766,15.000000000000004,14.999999999999996,14.059108014262984,14.060397879014452,15.0,14.999999999999996,14.999999999999998,15.000000000000004,14.999964154048605,14.999999999999767,15.000000000000002,14.999999999999773,15.0,14.061078078076694,14.999999999999995,14.999999999999762,15.000000000000002,14.999999999999766,14.999999999999757,14.999963214605728,14.064968685490832,14.999999999999998,14.999961274654343,14.999964436878631,15.000000000000004,15.000000000000002,15.0,14.070254529926208,14.999999999999995,15.000000000000004,15.000000000000007,14.065784894272692,14.061024060797012,14.999999999999766,14.999999999999998,14.999963965646385,14.06002807680077,14.999999999999993,14.999958184553428,15.000000000000004,14.063428700467346,14.999999999999998,14.999999999999995,15.0,14.999999999999993,15.000000000000002,15.000000000000004,14.999999999999998,14.999999999999996,14.999999999999764,14.999999999999769,14.069342913988129,14.999999999999996,14.999999999999998,14.061217688980513,14.999999999999991,14.999960746476763,15.0,14.999999999999996,15.0,14.999999999999991,15.0,15.0,14.999961391181825,14.999999999999998,15.000000000000004,15.000000000000002,14.99996121722818,15.000000000000005,14.86616276489247,0.32782018996861845,0.022051432851440976
