,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,1.0,1.0000000000000002,0.9999999999999998,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999996,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999996,0.9999999999999998,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999997,1.0000000000000002,1.0000000000000007,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999997,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0000000000000004,0.9999999999999996,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000004,0.9999999999999996,0.9999999999999998,0.9999999999999997,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999994,1.0000000000000002,0.9999999999999997,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999997,0.9999999999999998,1.0000000000000004,0.9999999999999999,0.9999999999999998,0.9999999999999997,0.9999999999999999,0.9999999999999999,1.0000000000000004,1.0,1.0000000000000002,0.9999999999999997,1.0000000000000002,0.9999999999999997,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999999,1.0,2.473652070556295e-16,2.473652070556295e-16
1_1_1,1.3262267206418143e-11,1.9877625815554892e-13,2.44426478409621e-13,1.0250072730570303e-11,4.991104834475046e-12,6.36769447263501e-13,1.7036991195144684e-11,5.73865985669627e-13,9.882107167731737e-12,5.393926150115846e-12,5.180519143598375e-12,1.102149020420702e-11,4.459822613805022e-12,3.734426410200879e-12,1.0682329289847211e-13,2.0969781436011728e-11,9.783497416583193e-12,1.3151506036751776e-12,1.0511919118600027e-11,1.3063478963625106e-11,1.6100999923556152e-11,1.2294329504314133e-11,1.6401395261753324e-11,9.295008284834733e-13,7.773910347038729e-12,1.485008668915575e-11,1.49902000343021e-11,1.467603130361471e-11,4.6741023655779554e-12,2.294285500246691e-12,3.0417350903979404e-12,2.8047260707359228e-12,7.106288105718586e-12,1.2150927097632049e-12,1.4482027942436111e-11,2.7244625729809282e-12,4.082617669954466e-12,1.187933269204636e-11,1.1376814385656528e-11,4.656551873794225e-12,1.3253129308461368e-11,5.954395285161993e-12,9.530573132676275e-12,5.913351196212706e-12,1.9902670259380887e-12,1.015604992063036e-11,1.5098432266210268e-11,6.5130749127542355e-12,1.4075108768293489e-11,9.192870483347296e-12,5.932875047593109e-13,7.901254395817365e-12,8.350712292835699e-13,8.200722291927336e-12,8.830602359654593e-12,1.0722928371344002e-12,2.471196408928537e-13,1.732671713718773e-11,1.916315514809055e-11,1.3051171945857283e-12,7.194382812015887e-12,2.0277068942297337e-12,3.1538083784666313e-12,9.521035952136889e-12,2.734846152587354e-12,3.996135534899688e-12,1.8382153328220234e-11,8.633371050283076e-12,2.0759420360910168e-11,1.2057195319065038e-11,1.2295960222625432e-11,6.155024195081186e-12,7.705393880262618e-12,1.0444324539692753e-11,1.4983232967614919e-12,1.5914259576789645e-12,6.15704554719472e-12,4.1663246094010294e-12,5.3004021069064645e-12,1.5177849092266432e-11,7.714370681772815e-12,5.013764225431061e-12,7.218458659463656e-12,1.781769515224155e-12,7.723866570003372e-12,5.560505006500542e-12,0.7199121005139417
2_0_0,2.9999999997544586,2.999999999975408,2.9999999999286597,2.9999999998260933,2.999999999944929,2.999999999975969,2.999999999524618,2.9999999999252127,2.9999999996193463,2.9999999998018416,2.9999999998818256,2.9999999998367057,2.999999999804722,2.999999999878559,2.9999999999720934,2.9999999995241864,2.9999999998210307,2.9999999998581397,2.9999999994625206,2.9999999996175193,2.999999999492553,2.999999999834988,2.9999999996556603,2.999999999977469,2.999999999587102,2.9999999996300497,2.9999999997503823,2.9999999994881326,2.9999999999434133,2.9999999998705618,2.999999999976707,2.999999999935719,2.999999999891029,2.9999999999734066,2.9999999995114535,2.9999999999350444,2.9999999998762683,2.999999999615773,2.999999999729158,2.9999999998777707,2.99999999962269,2.9999999998911795,2.9999999994762563,2.9999999998853535,2.9999999999333067,2.999999999736538,2.9999999997509605,2.9999999998138405,2.9999999997456825,2.9999999998295452,2.9999999998592495,2.9999999997277396,2.9999999999318168,2.9999999994558135,2.9999999998189923,2.999999999973041,2.99999999997026,2.9999999996432383,2.999999999516569,2.9999999999767066,2.9999999994590434,2.999999999975716,2.9999999999391713,2.999999999821965,2.9999999999375535,2.9999999999427427,2.9999999996638076,2.999999999719779,2.9999999995246527,2.999999999474211,2.999999999630832,2.9999999995756736,2.9999999995871085,2.999999999728709,2.999999999974456,2.999999999975655,2.999999999704169,2.9999999997933564,2.9999999998009477,2.999999999763287,2.9999999997117675,2.999999999943646,2.9999999998964126,2.999999999861536,2.9999999997791837,1.627371972187202e-10,5.424573241023285e-11
2_0_2,8.999999998526754,8.999999999852449,8.999999999571962,8.99999999895656,8.999999999669575,8.999999999855813,8.999999997147713,8.999999999551274,8.999999997716078,8.999999998811052,8.999999999290955,8.999999999020233,8.999999998828333,8.999999999271356,8.99999999983256,8.999999997145121,8.99999999892618,8.999999999148839,8.999999996775125,8.999999997705116,8.999999996955319,8.999999999009932,8.999999997933966,8.999999999864817,8.999999997522613,8.999999997780298,8.999999998502293,8.999999996928794,8.999999999660481,8.99999999922337,8.999999999860245,8.99999999961431,8.999999999346167,8.999999999840439,8.99999999706872,8.999999999610267,8.999999999257613,8.999999997694639,8.999999998374951,8.99999999926662,8.999999997736138,8.999999999347077,8.999999996857541,8.999999999312118,8.999999999599837,8.999999998419229,8.999999998505764,8.999999998883045,8.999999998474093,8.999999998977275,8.999999999155495,8.999999998366434,8.999999999590896,8.999999996734886,8.999999998913957,8.99999999983825,8.99999999982156,8.999999997859431,8.99999999709941,8.999999999860247,8.999999996754259,8.999999999854298,8.999999999635028,8.999999998931795,8.999999999625318,8.999999999656454,8.999999997982849,8.999999998318675,8.999999997147915,8.999999996845265,8.999999997784997,8.999999997454044,8.999999997522652,8.999999998372257,8.999999999846732,8.999999999853928,8.999999998225011,8.999999998760142,8.999999998805686,8.999999998579728,8.999999998270606,8.999999999661881,8.999999999378472,8.999999999169217,8.999999998675104,9.764228609674772e-10,1.0849142901235745e-10
2_2_2,4.5239656798982875e-21,4.5888540006969525e-23,2.9340117405501803e-22,2.2802340200974737e-21,2.5775684551461377e-22,4.4816716373111735e-23,1.5178218942483542e-20,2.745934960866078e-22,8.869551175983446e-21,2.4511452060437184e-21,9.829481412824823e-22,2.1417569186745958e-21,2.283451553603152e-21,9.569270388169371e-22,5.1209479562827815e-23,1.59798009149681e-20,2.4069209485485367e-21,9.859715241971463e-22,1.6639341432682167e-20,9.687856617572926e-21,1.6821897311437024e-20,2.2381987761512063e-21,8.512248749597221e-21,4.2917669662956573e-23,9.60374182839559e-21,9.302000774820593e-21,4.790691087044062e-21,1.6700833372417615e-20,2.6706263565709107e-22,9.360260394922805e-22,4.9525260687212926e-23,2.7679530795765903e-22,9.308597127224048e-22,4.6449394749304675e-23,1.5213825347296907e-20,2.873308498744761e-22,9.71587733561859e-22,9.387742109633913e-21,5.114028880312582e-21,1.0191879173639331e-21,9.501463415534045e-21,8.793864537928977e-22,1.5850287067211324e-20,9.585319087942758e-22,2.908003179187933e-22,4.752759940661144e-21,4.7762987397997334e-21,2.324195520786573e-21,4.903462959759481e-21,2.172443141962716e-21,1.0196487656727733e-21,4.738080154858129e-21,2.826723892226362e-22,1.6590321200961987e-20,2.3720867651122684e-21,4.815815494533578e-23,4.8838695385785007e-23,9.192003824988408e-21,1.6222219291803112e-20,4.416879043181796e-23,1.5569442782825974e-20,4.916468894824436e-23,2.6197437362375145e-22,2.3360250882605116e-21,2.8681751222395876e-22,2.612327992041962e-22,8.546675996425208e-21,5.0182922379063614e-21,1.6077948734212597e-20,1.6307462423316272e-20,9.034489612981776e-21,9.677166106966943e-21,9.40942983798192e-21,4.961251670533267e-21,4.999627041072414e-23,4.6807242954212966e-23,5.096129491729933e-21,2.4531995178600623e-21,2.3517806600003994e-21,4.4826568168720984e-21,5.104508457517927e-21,2.701148502386652e-22,8.700098162438606e-22,9.754875775989958e-22,4.825173799901531e-21,5.499045628548615e-21,1.1396575245975256
3_1_1,5.3049068822412826e-11,7.951050326173069e-13,9.777059136208535e-13,4.100029092049524e-11,1.9964419337625386e-11,2.5470777890387486e-12,6.814796477248114e-11,2.2954639426355462e-12,3.9528428667175165e-11,2.157570459938945e-11,2.0722076573779584e-11,4.4085960815023766e-11,1.7839290454348097e-11,1.493770564034914e-11,4.2729317159090375e-13,8.387912573402502e-11,3.9133989664578973e-11,5.260602414513934e-12,4.2047676468754925e-11,5.225391584951195e-11,6.44039996860357e-11,4.917731801522865e-11,6.560558104136268e-11,3.718003313912938e-12,3.109564138494515e-11,5.940034675111692e-11,5.996080013346174e-11,5.870412520691703e-11,1.869640946204726e-11,9.177142000689858e-12,1.2166940361520826e-11,1.121890428276303e-11,2.8425152422098807e-11,4.860370839020458e-12,5.7928111762695915e-11,1.0897850291746596e-11,1.6330470679313364e-11,4.7517330763625177e-11,4.5507257539536903e-11,1.8626207494606472e-11,5.301251722883154e-11,2.381758113999937e-11,3.8122292525718036e-11,2.3653404784171034e-11,7.961068103619167e-12,4.062419967983737e-11,6.039372906107577e-11,2.6052299649797897e-11,5.630043506958993e-11,3.6771481931819756e-11,2.373150018953702e-12,3.160501758112459e-11,3.34028491707723e-12,3.28028891632449e-11,3.532240943701837e-11,4.289171348508777e-12,9.884785635640701e-13,6.930686854256362e-11,7.665262058309581e-11,5.220468778312578e-12,2.8777531244183907e-11,8.110827576869779e-12,1.2615233513674345e-11,3.8084143806849754e-11,1.0939384610178529e-11,1.598454213936957e-11,7.352861330669876e-11,3.4533484198715806e-11,8.303768143375671e-11,4.822878126991614e-11,4.918384088597915e-11,2.462009677771968e-11,3.0821575517873465e-11,4.177729815593503e-11,5.993293187007751e-12,6.36570383067704e-12,2.4628182186954865e-11,1.66652984367421e-11,2.1201608426571222e-11,6.071139636547164e-11,3.0857482724866434e-11,2.005505690144149e-11,2.8873834637105096e-11,7.12707806064998e-12,3.089546627761601e-11,2.224202002361262e-11,0.7199121004924637
3_1_3,2.121962752766123e-10,3.180420130449673e-12,3.910823654412892e-12,1.6400116367483704e-10,7.985767734940235e-11,1.0188311156093974e-11,2.725918590575342e-10,9.181855770370338e-12,1.5811371465369354e-10,8.630281839326208e-11,8.288830629266268e-11,1.7634384325287783e-10,7.135716181390442e-11,5.975082255957903e-11,1.7091726863516762e-12,3.355165028960126e-10,1.5653595865130076e-10,2.1042409657308625e-11,1.6819070585243896e-10,2.090156633780939e-10,2.576159987113872e-10,1.9670927205280308e-10,2.624223241428483e-10,1.4872013255567934e-11,1.2438256552694152e-10,2.376013869824434e-10,2.3984320051886027e-10,2.348165007975009e-10,7.47856378471308e-11,3.6708568001571813e-11,4.8667761445799574e-11,4.487561713032947e-11,1.1370060968529308e-10,1.944148335595238e-11,2.3171244702258954e-10,4.359140116627792e-11,6.532188271523547e-11,1.9006932303625964e-10,1.8202903014579075e-10,7.450482997614416e-11,2.1205006889527042e-10,9.527032455740308e-11,1.5248917008292388e-10,9.461361913396497e-11,3.184427241394392e-11,1.6249679870861315e-10,2.4157491622924193e-10,1.0420919859431542e-10,2.2520174026402357e-10,1.4708592772100132e-10,9.492600075480644e-12,1.2642007031591888e-10,1.3361139668080722e-11,1.312115566351219e-10,1.4128963774167348e-10,1.7156685393919817e-11,3.9539142542269e-12,2.7722747414550516e-10,3.0661048229531774e-10,2.0881875113128978e-11,1.1511012496121707e-10,3.244331030728249e-11,5.046093405392867e-11,1.5233657522060784e-10,4.375753844003056e-11,6.393816855656155e-11,2.941144532020663e-10,1.3813393678519718e-10,3.321507256954911e-10,1.929151250542885e-10,1.9673536352582626e-10,9.848038710045845e-11,1.232863020587858e-10,1.6710919261239617e-10,2.3973172747878136e-11,2.546281532255289e-11,9.851272874052338e-11,6.66611937435203e-11,8.480643370206636e-11,2.428455854475102e-10,1.2342993089056649e-10,8.022022760463496e-11,1.1549533854542224e-10,2.8508312241613358e-11,1.2358186510087417e-10,8.896808008489227e-11,0.7199121004709853
3_3_3,5.854438049095703e-32,7.648781552120011e-35,3.2380329738151175e-34,2.3286532377688783e-32,1.2111417690653633e-33,7.993646649273229e-35,2.67615364334548e-31,1.5403193435597043e-34,9.042818697703606e-32,1.4068164961945265e-32,5.3751028196046836e-33,2.2549817251128533e-32,1.0995642266309608e-32,4.085659981033473e-33,3.237267905130506e-35,3.4083011289524417e-31,2.2908976134303355e-32,1.2657096218563365e-33,1.8903077405602514e-31,1.1873521708041479e-31,2.7033069571544436e-31,2.622619621379147e-32,1.3760985386432545e-31,1.021882117593968e-34,6.899618295513395e-32,1.4189948480279582e-31,7.01952421481432e-32,2.6651927069435924e-31,1.1809427797190135e-33,2.2184880644631648e-33,1.561564242177228e-34,8.420685768556572e-34,6.543538515861417e-33,6.377550378316764e-35,2.2818931143696916e-31,8.94542549807338e-34,4.4807230399459044e-33,1.2248900568459596e-31,5.68275001574249e-32,4.791671250605058e-33,1.3314584984936483e-31,5.172933331674579e-33,1.6713144750811353e-31,5.8608621303801117e-33,7.59328259864621e-34,5.123432381455026e-32,7.082543081879824e-32,1.6674828658984854e-32,6.889013299088127e-32,1.9735467666346254e-32,1.3820075234478124e-33,3.9174331708931555e-32,4.642753524864551e-34,1.4702544116217127e-31,2.2484419805257852e-32,7.801772508593222e-35,1.8449160808212937e-35,1.6222120740353908e-31,3.289257201374235e-31,9.071941889768003e-35,1.09840788654188e-31,9.568073715887095e-35,8.23369868364246e-34,2.2288623500596184e-32,9.430736756033512e-34,9.989501719941563e-34,1.5189073079235558e-31,4.499801188769641e-32,3.447495342367829e-31,2.0987566076783027e-31,1.2036297457049497e-31,6.222124303973029e-32,7.034200078095334e-32,5.538745077144187e-32,8.422325064500292e-35,7.882906504287727e-35,3.119698307485577e-32,1.143162891425417e-32,1.3515916447419407e-32,6.515447386875735e-32,4.2432254942187456e-32,1.2194897438067517e-33,5.9907687384263506e-33,1.6210122061508935e-33,6.179753716587749e-32,8.76666665262321e-32,1.4186110085733104
4_0_0,4.999999998772297,4.99999999987704,4.999999999643301,4.999999999130466,4.999999999724648,4.999999999879846,4.999999997623095,4.999999999626063,4.9999999980967305,4.999999999009213,4.99999999940913,4.999999999183527,4.999999999023614,4.999999999392797,4.999999999860467,4.999999997620934,4.999999999105154,4.9999999992907,4.999999997312607,4.999999998087597,4.999999997462764,4.999999999174943,4.999999998278307,4.999999999887347,4.999999997935516,4.999999998150245,4.999999998751911,4.999999997440661,4.99999999971707,4.999999999352808,4.9999999998835385,4.99999999967859,4.999999999455139,4.99999999986703,4.999999997557268,4.9999999996752225,4.999999999381344,4.999999998078864,4.999999998645792,4.999999999388849,4.999999998113449,4.999999999455898,4.999999997381282,4.999999999426763,4.999999999666527,4.999999998682693,4.999999998754803,4.999999999069206,4.999999998728411,4.999999999147726,4.999999999296247,4.999999998638694,4.999999999659077,4.99999999727907,4.999999999094964,4.999999999865212,4.999999999851298,4.999999998216192,4.99999999758284,4.99999999988354,4.999999997295215,4.999999999878582,4.999999999695856,4.999999999109828,4.999999999687765,4.999999999713711,4.999999998319041,4.999999998598897,4.999999997623259,4.999999997371053,4.999999998154164,4.99999999787837,4.999999997935545,4.999999998643547,4.9999999998722755,4.999999999878273,4.999999998520841,4.999999998966785,4.999999999004737,4.999999998816442,4.999999998558838,4.999999999718235,4.999999999482058,4.999999999307678,4.999999998895921,8.136857525702285e-10,1.6273715054998062e-10
4_0_2,14.999999995089183,14.999999999508159,14.999999998573207,14.999999996521868,14.99999999889859,14.999999999519385,14.999999990492384,14.999999998504247,14.999999992386924,14.999999996036848,14.999999997636522,14.999999996734108,14.999999996094454,14.999999997571187,14.999999999441869,14.99999999048374,14.99999999642061,14.9999999971628,14.999999989250425,14.999999992350388,14.999999989851059,14.999999996699774,14.999999993113224,14.99999999954939,14.999999991742062,14.999999992600982,14.999999995007641,14.999999989762644,14.999999998868274,14.999999997411233,14.999999999534158,14.999999998714362,14.99999999782055,14.999999999468121,14.999999990229067,14.99999999870089,14.999999997525375,14.999999992315457,14.999999994583169,14.999999997555395,14.999999992453793,14.999999997823593,14.999999989525131,14.999999997707054,14.999999998666105,14.999999994730775,14.999999995019213,14.99999999627682,14.999999994913642,14.999999996590908,14.999999997184986,14.999999994554775,14.999999998636309,14.99999998911628,14.999999996379856,14.999999999460847,14.999999999405192,14.99999999286477,14.99999999033136,14.999999999534165,14.99999998918086,14.99999999951433,14.999999998783425,14.999999996439312,14.999999998751061,14.999999998854843,14.999999993276168,14.999999994395587,14.999999990493038,14.999999989484214,14.999999992616656,14.99999999151348,14.999999991742179,14.99999999457419,14.999999999489102,14.999999999513097,14.999999994083364,14.999999995867142,14.999999996018943,14.999999995265767,14.99999999423535,14.999999998872942,14.999999997928233,14.999999997230717,14.99999999558368,3.2547429466261168e-09,2.1698286317229217e-10
