,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999996,1.0,1.0,1.0000000000000007,1.0000000000000002,0.9999999999999996,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.9999999999999996,0.9999999999999996,1.0000000000000004,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0000000000000004,1.0000000000000002,0.9999999999999993,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.9999999999999996,0.9999999999999999,0.9999999999999999,0.9999999999999996,1.0000000000000002,1.0000000000000004,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999997,1.0,1.0000000000000004,0.9999999999999998,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999996,1.0,1.0,0.9999999999999999,0.9999999999999996,0.9999999999999996,1.0000000000000004,1.0,1.0,1.0000000000000004,0.9999999999999997,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999997,1.0,1.0000000000000002,0.9999999999999999,1.0,2.825335566748918e-16,2.825335566748918e-16
1_1_1,1.4622847503263828e-11,2.0955281158143663e-12,1.0838008738066575e-12,1.6407715039781908e-11,2.231294714079172e-11,6.902706458700596e-12,1.0507141891983134e-11,2.544664635763597e-12,7.967732895725422e-12,8.549748679514251e-12,1.2863082354678876e-11,1.7470030602572826e-11,7.069210799130282e-12,8.960041904049024e-12,1.0832257418513588e-12,1.309586453890752e-11,1.5047988122526905e-11,3.2658502057866147e-12,6.10909613155076e-12,1.0068951369595417e-11,9.516362118201901e-12,1.9487749427206877e-11,1.3263219641532734e-11,9.441947000535864e-12,6.2678054127876875e-12,1.2126945897754643e-11,1.6636541184253913e-11,9.280149199068161e-12,2.073541082176909e-11,5.697318794649149e-12,3.0611103566237204e-11,1.2437947275160408e-11,1.7646800110630744e-11,1.2306908271082756e-11,8.932540811976712e-12,1.2283312582897488e-11,1.0338665750454208e-11,9.786542870309952e-12,1.2060771858215204e-11,1.1129494724811254e-11,1.0685435198932358e-11,1.4841708087696953e-11,5.626017555556666e-12,1.4848338718720053e-11,8.392862318965635e-12,1.0793266919990364e-11,1.659049507471056e-11,9.997870443172271e-12,1.5464761755155395e-11,1.4622151198552817e-11,1.37436111071986e-12,8.682030072562925e-12,3.5117425267601414e-12,5.057538979997429e-12,1.4190042102496966e-11,1.0793637584274108e-11,2.6250423177288583e-12,1.3970174113073226e-11,1.1817679232980076e-11,1.3054996010062253e-11,4.4369572191852686e-12,2.098066997292605e-11,1.4053198523167404e-11,1.5090890856749256e-11,1.1787717964028936e-11,1.771985964816112e-11,1.4821139386721453e-11,9.486532364385538e-12,1.2803004455106039e-11,7.436066002889505e-12,9.579564228991961e-12,4.6818590601641295e-12,6.2130977223138515e-12,1.169442505467795e-11,1.509160931585484e-11,1.6019201520470233e-11,6.765367789091284e-12,6.238020266513293e-12,8.402006406714131e-12,1.6677673647053263e-11,8.02383889135478e-12,2.2173527446919093e-11,1.7925345453599754e-11,4.424797840132189e-12,1.116050279386442e-11,5.451208169538527e-12,0.48843750772011585
2_0_0,2.999999999730455,2.999999999753257,2.999999999683666,2.999999999725218,2.999999999756766,2.999999999760852,2.999999999706821,2.9999999996683737,2.9999999996930873,2.9999999996859024,2.999999999706551,2.999999999741165,2.999999999690469,2.999999999699359,2.9999999997193076,2.99999999970751,2.9999999997174074,2.9999999996477262,2.999999999670157,2.99999999969299,2.9999999996883733,2.9999999997384434,2.9999999997225744,2.999999999774057,2.999999999667092,2.9999999997026934,2.999999999726577,2.99999999968594,2.9999999997491615,2.9999999996785705,2.9999999997656914,2.999999999715061,2.999999999729393,2.999999999732705,2.9999999996987063,2.999999999713338,2.999999999694058,2.9999999996915774,2.999999999703593,2.9999999996977325,2.999999999695784,2.999999999730068,2.9999999996780335,2.9999999997162017,2.9999999997055964,2.9999999997114046,2.9999999997263527,2.999999999705806,2.999999999720555,2.999999999730057,2.999999999652348,2.9999999997008358,2.999999999698678,2.999999999664388,2.9999999997144546,2.999999999728649,2.9999999997020232,2.9999999997123514,2.9999999997018594,2.9999999997660183,2.9999999996663784,2.999999999758412,2.9999999997306137,2.999999999717802,2.999999999724104,2.999999999746104,2.999999999728936,2.9999999996920907,2.999999999706841,2.9999999996757327,2.999999999703245,2.9999999996595754,2.9999999996670987,2.9999999997033493,2.9999999997429443,2.999999999754941,2.999999999674936,2.9999999996740323,2.999999999684489,2.999999999739897,2.999999999684824,2.9999999997502855,2.9999999997427627,2.9999999996561586,2.9999999997092783,2.915476514127793e-11,9.718255048034414e-12
2_0_2,8.999999998382728,8.999999998519543,8.999999998101993,8.99999999835131,8.999999998540599,8.999999998565114,8.999999998240925,8.999999998010239,8.999999998158525,8.999999998115417,8.999999998239304,8.999999998446986,8.999999998142814,8.999999998196152,8.999999998315843,8.999999998245059,8.999999998304444,8.999999997886352,8.999999998020936,8.999999998157936,8.999999998130244,8.999999998430667,8.999999998335442,8.999999998644345,8.999999998002552,8.999999998216161,8.99999999835946,8.99999999811564,8.999999998494971,8.99999999807142,8.999999998594154,8.999999998290367,8.999999998376355,8.999999998396229,8.99999999819224,8.999999998280034,8.999999998164348,8.999999998149466,8.999999998221561,8.999999998186397,8.999999998174705,8.99999999838041,8.999999998068198,8.999999998297206,8.99999999823358,8.999999998268425,8.999999998358115,8.99999999823484,8.999999998323332,8.99999999838034,8.999999997914088,8.999999998205013,8.99999999819207,8.999999997986325,8.999999998286725,8.999999998371894,8.99999999821214,8.99999999827411,8.999999998211154,8.999999998596108,8.999999997998268,8.999999998550475,8.999999998383684,8.99999999830682,8.999999998344627,8.999999998476621,8.999999998373616,8.999999998152544,8.999999998241053,8.999999998054399,8.999999998219467,8.999999997957454,8.999999998002592,8.99999999822009,8.999999998457668,8.999999998529645,8.999999998049615,8.999999998044194,8.999999998106935,8.999999998439383,8.999999998108947,8.999999998501712,8.999999998456575,8.999999997936953,8.99999999825567,1.7492918899407868e-10,1.943657655866472e-11
2_2_2,5.458921219819909e-21,4.607720004080409e-21,5.7687957416412146e-21,5.71109951581957e-21,5.0462984227525544e-21,4.519299188890407e-21,5.773035251309161e-21,5.399212014793298e-21,5.7659657481281486e-21,6.158467175617328e-21,6.060491182341241e-21,5.381171972869155e-21,5.737180262173326e-21,5.892754680472588e-21,5.162201858628404e-21,6.058888670643733e-21,5.9569287769508654e-21,6.080017787262909e-21,6.3038383540273444e-21,6.200264635759373e-21,6.297999455600088e-21,5.62329573385812e-21,5.531035496632622e-21,4.313610599233694e-21,6.243111317886585e-21,6.028201919304754e-21,5.766265398447437e-21,6.242121067242662e-21,5.245011343969362e-21,5.772102728147753e-21,5.000216104253584e-21,5.4283673272138015e-21,5.740171453848296e-21,4.703014282398989e-21,5.7865099862014804e-21,5.5546727577326185e-21,5.906279925067782e-21,6.012805385217834e-21,6.083711220396307e-21,6.18798022114611e-21,6.1765686259894355e-21,5.4184623896671284e-21,6.025321217614986e-21,5.893203023974444e-21,5.695102579812614e-21,5.729856265108728e-21,5.766801655560608e-21,5.830391406027475e-21,5.919804493750626e-21,5.455197086421352e-21,6.262019841579644e-21,5.7207488917534944e-21,5.554277404588343e-21,6.3100842476199606e-21,5.858453917115193e-21,4.879537780520758e-21,4.880741246507265e-21,5.975560832204239e-21,6.169710377360534e-21,4.414059793129799e-21,5.9218372311213675e-21,4.922399005777902e-21,5.147471952595265e-21,5.8688985095137884e-21,5.563213619550818e-21,5.1365064748674365e-21,5.556069310382953e-21,6.05886389433074e-21,6.115040771022606e-21,6.2023079707797254e-21,5.865578990301502e-21,6.2664221865441585e-21,6.1164150621763295e-21,5.890260110757384e-21,5.059498722705951e-21,4.742659148782581e-21,6.152994554234881e-21,6.1405743401030075e-21,5.908221658896622e-21,5.412351234788608e-21,6.138374315612353e-21,5.2865952429406224e-21,5.3650067559625774e-21,6.015169160792433e-21,5.682115112959871e-21,4.843664156800037e-22,0.08524403431659665
3_1_1,5.849139000910983e-11,8.382112462740401e-12,4.335203494879985e-12,6.563086015461027e-11,8.925178855774103e-11,2.7610825833156492e-11,4.2028567564852614e-11,1.0178658542209652e-11,3.18709315804627e-11,3.419899471535878e-11,5.145232941493027e-11,6.988012240575797e-11,2.8276843194330247e-11,3.5840167613496636e-11,4.3329029671010285e-12,5.2383458151783245e-11,6.019195248584834e-11,1.3063400821994684e-11,2.4436384524189532e-11,4.027580547529476e-11,3.80654484698361e-11,7.795099770373246e-11,5.3052878562449446e-11,3.776778800000913e-11,2.5071221649064177e-11,4.850778358740569e-11,6.654616473246091e-11,3.712059679334729e-11,8.294164328187379e-11,2.2789275176765703e-11,1.2244441425776765e-10,4.975178909709036e-11,7.058720043774058e-11,4.922763308103657e-11,3.5730163245225686e-11,4.913325032806585e-11,4.135466299865893e-11,3.914617147822493e-11,4.8243087429276324e-11,4.4517978895873595e-11,4.274174079247004e-11,5.936683234677765e-11,2.2504070220416333e-11,5.939335487065509e-11,3.357144927338215e-11,4.317306767683748e-11,6.636198029429605e-11,3.999148176973108e-11,6.185904701629462e-11,5.848860479025799e-11,5.497444442401031e-12,3.472812028766199e-11,1.4046970105980214e-11,2.0230155918291688e-11,5.6760168405931777e-11,4.3174550334175895e-11,1.0500169270133988e-11,5.588069644827062e-11,4.7270716928396075e-11,5.221998403720081e-11,1.7747828875265455e-11,8.392267988664449e-11,5.621279408887732e-11,6.036356342273156e-11,4.715087185286106e-11,7.087943858813818e-11,5.928455754286688e-11,3.7946129454624465e-11,5.121201781666479e-11,2.974426400914506e-11,3.831825691313595e-11,1.8727436239066053e-11,2.4852390887189988e-11,4.677770021523963e-11,6.036643725954582e-11,6.407680607794786e-11,2.706147115416286e-11,2.4952081064016895e-11,3.3608025624206664e-11,6.671069458387356e-11,3.209535556288822e-11,8.869410978213514e-11,7.170138180977695e-11,1.7699191359007765e-11,4.464201117232534e-11,2.1804832676862184e-11,0.4884375077254478
3_1_3,2.339655600206574e-10,3.3528449848893344e-11,1.7340813978133364e-11,2.6252344060037163e-10,3.570071542092606e-10,1.1044330332604238e-10,1.6811427024709076e-10,4.0714634165459665e-11,1.274837263120949e-10,1.3679597885064227e-10,2.0580931764458018e-10,2.795204896048986e-10,1.1310737276855749e-10,1.4336067044318869e-10,1.7331611867186488e-11,2.095338325917457e-10,2.4076780992635616e-10,5.225360328337165e-11,9.774553808870414e-11,1.6110322188883143e-10,1.5226179386745833e-10,3.118039907945497e-10,2.1221151423507185e-10,1.5107115199149921e-10,1.0028488658791044e-10,1.9403113433517128e-10,2.6618465891162463e-10,1.4848238716168773e-10,3.317665731066848e-10,9.115710069973923e-11,4.897776570023458e-10,1.9900715637415634e-10,2.8234880173183273e-10,1.9691053231096854e-10,1.429206529701781e-10,1.9653300129816693e-10,1.6541865198200415e-10,1.565846859008402e-10,1.9297234970276726e-10,1.780719155700087e-10,1.709669631568426e-10,2.3746732937106987e-10,9.001628087442403e-11,2.375734194657199e-10,1.34285797083607e-10,1.7269227069485403e-10,2.654479211589994e-10,1.5996592706709236e-10,2.474361880478706e-10,2.339544191452188e-10,2.1989777767690497e-11,1.389124811402891e-10,5.6187880419679467e-11,8.092062366637464e-11,2.2704067360750276e-10,1.726982013250215e-10,4.200067707741018e-11,2.2352278577699339e-10,1.8908286769948739e-10,2.0887993613661037e-10,7.099131549515933e-11,3.3569071952633917e-10,2.2485117634034004e-10,2.414542536738644e-10,1.8860348739842556e-10,2.8351775433452746e-10,2.3713823015539166e-10,1.5178451780682714e-10,2.048480712516217e-10,1.189770560269284e-10,1.5327302764121625e-10,7.490974494990235e-11,9.940956354049825e-11,1.8711080084706987e-10,2.4146574902268914e-10,2.563072242960591e-10,1.0824588460784234e-10,9.980832424792247e-11,1.3443210248622724e-10,2.668427783181362e-10,1.2838142224142932e-10,3.5477643910637564e-10,2.8680552722061954e-10,7.07967654299471e-11,1.7856804467677203e-10,8.721933070228103e-11,0.4884375077307796
3_3_3,7.767154352695988e-32,7.820490450314722e-32,2.82308682013391e-32,9.318150271393091e-32,1.0570230996582812e-31,8.192659908742048e-32,6.277491566223876e-32,1.3429844192944143e-32,4.7397937731813984e-32,5.602703447605419e-32,8.230741405883792e-32,8.980552710978974e-32,4.3790574526930254e-32,6.078671817387523e-32,3.296713534698642e-32,8.058192070704131e-32,9.204693523741243e-32,1.9382364154488746e-32,4.1039504773804766e-32,6.323687055833762e-32,6.468571670539507e-32,1.0443981738664503e-31,7.213410274066253e-32,1.0097138589091127e-31,3.6165597383848307e-32,7.498016753322532e-32,9.363035761904273e-32,5.849428565059988e-32,1.027260249448339e-31,3.3972403910494094e-32,1.5830245132092595e-31,7.314624514070718e-32,1.0020051563116373e-31,6.506807328898012e-32,5.352889793836426e-32,7.370210627638162e-32,6.528759586876049e-32,6.087353030270725e-32,7.628082760040609e-32,7.448065961204844e-32,6.978820831487733e-32,7.917612149911973e-32,3.769397972728492e-32,9.03361997397746e-32,6.221273694082927e-32,6.595764244229343e-32,9.396163586287617e-32,6.457976556797417e-32,9.139480860227492e-32,7.860935093237937e-32,1.9139760514614877e-32,5.197294415636127e-32,3.950655922886146e-32,3.4488073255420314e-32,8.479873517764149e-32,7.95713197425139e-32,1.719244842735775e-32,8.502744219456523e-32,7.715642885830863e-32,9.173734222575863e-32,2.57655096611759e-32,9.846512068801787e-32,7.183718492899971e-32,8.876448903268561e-32,8.301158304305274e-32,8.709716717035653e-32,7.961353237318661e-32,5.969610447826158e-32,8.086266687160073e-32,4.922768998693593e-32,6.109756359184743e-32,3.022845063960795e-32,3.686289892094068e-32,6.942154410210776e-32,8.569327256192952e-32,8.039881625634821e-32,4.138948051892517e-32,4.2230933207437417e-32,5.381727837253589e-32,8.644103607966244e-32,5.241458987355086e-32,1.0613010204909093e-31,9.17385213042941e-32,2.4820736926034883e-32,6.779632099410665e-32,2.5613878332455175e-32,0.3778063168749484
4_0_0,4.999999998652275,4.999999998766285,4.999999998418327,4.999999998626091,4.999999998783834,4.999999998804262,4.999999998534105,4.999999998341864,4.999999998465436,4.999999998429517,4.999999998532753,4.999999998705821,4.999999998452344,4.9999999984967936,4.999999998596532,4.9999999985375485,4.999999998587038,4.999999998238627,4.9999999983507815,4.999999998464947,4.999999998441871,4.999999998692226,4.999999998612867,4.999999998870287,4.999999998335458,4.999999998513467,4.999999998632886,4.999999998429701,4.999999998745805,4.999999998392852,4.999999998828459,4.999999998575305,4.999999998646963,4.999999998663523,4.9999999984935375,4.999999998566695,4.9999999984702885,4.9999999984578904,4.999999998517967,4.999999998488665,4.99999999847892,4.999999998650342,4.999999998390163,4.9999999985810035,4.9999999985279855,4.999999998557019,4.999999998631764,4.999999998529031,4.999999998602778,4.999999998650283,4.999999998261738,4.999999998504174,4.99999999849339,4.999999998321938,4.999999998572269,4.999999998643245,4.999999998510116,4.999999998561756,4.999999998509293,4.99999999883009,4.999999998331891,4.999999998792063,4.999999998653071,4.999999998589013,4.999999998620523,4.999999998730518,4.99999999864468,4.999999998460453,4.9999999985342125,4.999999998378671,4.999999998516223,4.999999998297878,4.999999998335495,4.999999998516741,4.9999999987147214,4.999999998774707,4.999999998374679,4.999999998370161,4.999999998422446,4.999999998699487,4.999999998424123,4.999999998751427,4.999999998713812,4.999999998280795,4.999999998546392,1.4577426762021081e-10,2.915485353251811e-11
4_0_2,14.999999994609102,14.999999995065139,14.999999993673308,14.999999994504364,14.999999995135337,14.999999995217049,14.99999999413642,14.999999993367451,14.999999993861744,14.999999993718065,14.999999994131013,14.999999994823282,14.999999993809375,14.99999999398717,14.999999994386133,14.999999994150194,14.999999994348153,14.999999992954507,14.999999993403122,14.999999993859786,14.99999999376749,14.999999994768904,14.999999994451466,14.999999995481149,14.999999993341834,14.999999994053868,14.999999994531539,14.999999993718806,14.999999994983225,14.999999993571407,14.999999995313837,14.999999994301223,14.999999994587851,14.999999994654093,14.999999993974152,14.99999999426678,14.999999993881154,14.999999993831558,14.999999994071867,14.999999993954658,14.999999993915683,14.999999994601371,14.999999993560653,14.999999994324014,14.999999994111938,14.999999994228077,14.999999994527055,14.999999994116127,14.999999994411112,14.999999994601133,14.999999993046957,14.9999999940167,14.999999993973564,14.999999993287751,14.999999994289077,14.99999999457298,14.999999994040465,14.999999994247025,14.999999994037172,14.99999999532036,14.999999993327561,14.999999995168256,14.999999994612285,14.999999994356058,14.999999994482097,14.999999994922067,14.99999999457872,14.999999993841813,14.999999994136852,14.999999993514681,14.999999994064888,14.999999993191514,14.99999999334198,14.999999994066963,14.999999994858891,14.999999995098827,14.999999993498715,14.999999993480646,14.99999999368978,14.999999994797951,14.999999993696493,14.999999995005707,14.999999994855251,14.999999993123176,14.999999994185568,5.830975103191133e-10,3.887316736967591e-11
