,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,1.0,1.0000000000000002,0.9999999999999996,0.9999999999999999,0.9999999999999994,0.9999999999999999,1.0000000000000002,0.9999999999999996,1.0,0.9999999999999998,1.0,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999997,1.0000000000000002,0.9999999999999993,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999999,0.9999999999999998,1.0000000000000007,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999996,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999994,1.0000000000000004,1.0,1.0000000000000002,1.0,1.0,1.0000000000000004,1.0000000000000004,1.0000000000000002,0.9999999999999997,0.9999999999999996,1.0000000000000002,1.0,0.9999999999999997,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999994,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999999,0.9999999999999997,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999997,0.9999999999999999,1.0,2.846034272526302e-16,2.846034272526302e-16
1_1_1,2.0700805732839686e-05,2.211100855563415e-05,8.889092078389647e-06,2.370026363809499e-05,4.546411267809518e-05,1.7826544995293617e-05,1.3853779603037494e-05,1.1833856597248137e-05,1.3704449695045852e-05,1.0764890222843898e-05,1.9417647279403315e-05,2.7561294250642294e-05,1.0289654503808671e-05,1.58007035313788e-05,1.1076819823778946e-05,1.6565580184613997e-05,2.2653946918168078e-05,8.9753420113438e-06,9.759741939393613e-06,1.2962372060387266e-05,1.449067630509054e-05,2.9687455964658407e-05,2.2128065690130007e-05,2.8895557361745438e-05,1.110708169743404e-05,1.7688618477885334e-05,2.1886871631342234e-05,1.2140667831509442e-05,3.5877502805772335e-05,9.47518656704869e-06,2.5280374137314884e-05,2.2545069966524607e-05,2.2989463974222635e-05,3.535117665086666e-05,1.3684444878958708e-05,1.8652936936420254e-05,1.961652892180916e-05,1.8854654593056683e-05,1.552540152855615e-05,1.4787464400531588e-05,1.3617798482817631e-05,2.126450483194292e-05,9.706583329644328e-06,1.6825570359348407e-05,1.1710014725086806e-05,1.7807975009207453e-05,2.2716410850661852e-05,1.695442031384837e-05,2.234007924483785e-05,2.0827778387334567e-05,1.0446511263851799e-05,1.142843582408551e-05,1.4256328459914185e-05,9.344079990611525e-06,1.931635487908409e-05,2.7699634612144763e-05,3.580866972671289e-05,1.9976875398938864e-05,1.5527155229757927e-05,6.821103141139225e-05,9.580695760445849e-06,3.846610201777224e-05,2.3771696719581225e-05,1.8711101812928962e-05,3.057914914251586e-05,2.689308970924883e-05,2.1071644801053736e-05,1.3070960004929855e-05,1.6646068051906578e-05,1.189132359555835e-05,1.2672620924532817e-05,9.173395056352283e-06,1.4220677120783019e-05,1.852791551556368e-05,2.2862863003589963e-05,2.7264144178864535e-05,1.0212059661647069e-05,9.310986241318954e-06,1.631629637823665e-05,2.7307447627890434e-05,1.1637915282340845e-05,4.041618365522804e-05,2.7843283845632573e-05,1.108530015338139e-05,1.9403526657295798e-05,9.618655180894859e-06,0.4957168534761287
2_0_0,2.9853880313561723,2.9851255877833758,2.985354078691073,2.985435496224979,2.985287954764811,2.9851446971186784,2.9854231470660477,2.9853710903228663,2.985458980172648,2.9854273974472196,2.985338632832811,2.985322123613979,2.985420597939432,2.9853434461426853,2.985278066267608,2.9854726319050853,2.9853432538394244,2.9854547475847446,2.9854782684857093,2.9854455217461173,2.9854202620560186,2.985354752609933,2.9854404851709644,2.9851079410922963,2.9854903001741535,2.985484304677384,2.9854168320328736,2.9854730212779175,2.985243357299198,2.985428915907123,2.985242681492112,2.985381519471664,2.985388717626266,2.9852481848250885,2.9854657453824593,2.9853783299593366,2.9854661508684788,2.985492186966424,2.9853996312969127,2.985374807145958,2.9854430371003744,2.985390786430241,2.985438515537565,2.985423030975143,2.9853436519806205,2.9853508646467093,2.985409472493987,2.9853475851678044,2.985358848598165,2.9854007412723838,2.9854078550776197,2.985411848085694,2.9852649851540756,2.9854651958157934,2.9854350822287015,2.985260133415483,2.9852904910601192,2.985450976503979,2.985427735581639,2.9848966961601544,2.985477834690332,2.985149378128134,2.9853381136874004,2.9853816365317596,2.9852026026006673,2.985230788668389,2.9853929533892796,2.98545586151945,2.9854304908536147,2.9854927781354825,2.985411148838822,2.9854948262472507,2.985504732790188,2.985463883172846,2.9852096067993985,2.985124414593296,2.9854607097338683,2.9854531595094027,2.98546855276665,2.985323559475836,2.985427585288197,2.9851956948940304,2.9853063741602384,2.985467392798885,2.9853701606094964,0.0001105382161466155,3.702663663123366e-05
2_0_2,8.912541697764677,8.91097477483904,8.912338975157425,8.91282510212009,8.911944172863874,8.911088862735769,8.912751367037746,8.91244054693554,8.912965322293507,8.912776745428483,8.912246752684078,8.912148181739077,8.912736146601034,8.91227549142708,8.911885132938469,8.913046835854276,8.912274343244563,8.912940049876296,8.91308049160043,8.91288496331395,8.912734141094631,8.91234299893072,8.912854890497846,8.910869419972288,8.913152332433961,8.913116533474993,8.912713660985197,8.9130491607783,8.911677902298987,8.91278581193438,8.911673867402218,8.91250281680294,8.912545795330205,8.911706725001482,8.913005716852041,8.912483772990795,8.913008137981448,8.913163598437558,8.912610958547734,8.912462739141763,8.912870127771109,8.91255814770257,8.91284313005514,8.912750673876817,8.912276720420985,8.912319785046856,8.912669718456824,8.912300204267241,8.912367454903357,8.912617585989691,8.912660061159151,8.912683902690437,8.911807031586967,8.913002435427433,8.912822630201894,8.911778064159828,8.911959316013972,8.912917533108565,8.912778764380118,8.909608286747808,8.913077901427279,8.911116809738783,8.912243653034642,8.912503515741042,8.911434578573799,8.91160286161369,8.912571086146366,8.912946701080843,8.912795215718452,8.913167128299124,8.912679727611135,8.913179357549101,8.913238509512611,8.912994597729488,8.91147639652742,8.910967770600971,8.912975649364652,8.912930567624679,8.91302247955859,8.91215675476148,8.912777866999711,8.911393336813852,8.912054147601756,8.913015553465371,8.912435008076267,0.0006599761847257237,7.405116380962854e-05
2_2_2,5.695482999988623e-06,5.742952679921518e-06,5.686005149951471e-06,5.696474375359766e-06,5.878633244636634e-06,5.786009952372955e-06,5.647073685418435e-06,5.683634529937689e-06,5.644992310095414e-06,5.648703492354703e-06,5.6671127834064875e-06,5.6850996921869505e-06,5.672267721123368e-06,5.634619151517486e-06,5.735217419559986e-06,5.641507916371542e-06,5.655082234731193e-06,5.63389679061197e-06,5.607027009952627e-06,5.644195939970345e-06,5.61601457399968e-06,5.732157818719024e-06,5.672761495767286e-06,5.75499060419694e-06,5.6084686157902105e-06,5.6355917995054435e-06,5.6913137749156064e-06,5.623670080819264e-06,5.798201215582583e-06,5.6533888095742395e-06,5.832365583872517e-06,5.685297427154027e-06,5.7263870535389335e-06,5.709711483396835e-06,5.639692839704406e-06,5.685961811420437e-06,5.62288137925222e-06,5.605121583630491e-06,5.66476975345641e-06,5.660186858957858e-06,5.649050300879776e-06,5.737867940119892e-06,5.615661388794772e-06,5.6945323534190215e-06,5.689490404618253e-06,5.6446416896271305e-06,5.698431791851598e-06,5.648056401088247e-06,5.672315444627461e-06,5.6900146185678865e-06,5.669562858817257e-06,5.6543302822269385e-06,5.738785722120657e-06,5.60386059544823e-06,5.675761126837491e-06,5.7098996860210895e-06,5.576220433225002e-06,5.6681561463102726e-06,5.6457943258024924e-06,5.666689718772563e-06,5.6021194006635006e-06,5.893631340716469e-06,5.7416964369099605e-06,5.6785971253572546e-06,5.6617501111706235e-06,5.7986269880217255e-06,5.684643074552973e-06,5.642527217483044e-06,5.652679089505865e-06,5.608025146195518e-06,5.66783835274694e-06,5.604411086780985e-06,5.583872272979845e-06,5.633135468320391e-06,5.826136638286528e-06,5.8259331713767185e-06,5.6260948714766194e-06,5.628850244615517e-06,5.62136397812409e-06,5.691725604088312e-06,5.629795819877727e-06,5.788406724991547e-06,5.700555356263974e-06,5.621696521477262e-06,5.679382844212893e-06,6.443727582423608e-08,0.011345823585373466
3_1_1,8.266657095805683e-05,8.78243080265317e-05,3.5374744341693164e-05,9.452486124369692e-05,0.00018086704031127502,7.052227834247141e-05,5.5435062449544336e-05,4.6930122576786564e-05,5.4706760851380334e-05,4.307606889168669e-05,7.75497077389978e-05,0.00011000447498993424,4.115544334381966e-05,6.308676274591132e-05,4.405540198818121e-05,6.621170054742837e-05,9.047758899796246e-05,3.570023565436105e-05,3.904254346474325e-05,5.186987691886881e-05,5.7940562726252386e-05,0.00011840110511976693,8.824716100259888e-05,0.00011441911950071384,4.43271156658785e-05,7.061167062245593e-05,8.739526308808337e-05,4.8553312682774307e-05,0.00014300171299148,3.7802946157834814e-05,9.930529539384294e-05,8.979453164209289e-05,9.175945314983386e-05,0.00014051759147561759,5.467476569862406e-05,7.440198293795687e-05,7.813684980171924e-05,7.515455045924865e-05,6.210390222798473e-05,5.912525444236351e-05,5.448864726865346e-05,8.484661584324014e-05,3.880855609235916e-05,6.72471790383115e-05,4.684587054167916e-05,7.116370347131269e-05,9.067524167412858e-05,6.773736557819724e-05,8.923659293668307e-05,8.315239610607465e-05,4.146373263753565e-05,4.5732570009491256e-05,5.6792208652552926e-05,3.735236619562195e-05,7.710132134602636e-05,0.0001092784509863742,0.00014199763619962677,7.975019084188171e-05,6.21095287366416e-05,0.00027134702110877707,3.821677787062759e-05,0.0001532439607547467,9.472508324673139e-05,7.479418563513034e-05,0.00012189192097027194,0.00010735062650890113,8.415240574821271e-05,5.224865169026082e-05,6.656868604851535e-05,4.7510290423171356e-05,5.071482152798267e-05,3.663073475633495e-05,5.666886801167683e-05,7.390631876389036e-05,9.126087480955921e-05,0.00010882118590602143,4.081779171903162e-05,3.722661371254542e-05,6.502420642656975e-05,0.00010899657543140355,4.655924971390621e-05,0.00016105900791941796,0.00011112856854234608,4.409901613566308e-05,7.735118236557788e-05,3.8223688642183204e-05,0.494157781086397
3_1_3,0.0003301205780180038,0.0003488356969756464,0.00014077619246203742,0.00037699789038542274,0.0007195320516333671,0.00027898797798036777,0.00022182005465938722,0.00018611315651605664,0.0002183837913558853,0.0001723703328830728,0.0003097160579687273,0.0004390571940404816,0.0001646090756691012,0.0002518836978274479,0.00017521982619719947,0.0002646444761080054,0.00036135840436348106,0.0001420009203176973,0.0001561844779976912,0.00020756109445436006,0.00023167371476343328,0.00047221364168997446,0.00035193141298799416,0.00045307085595970055,0.00017690454043478408,0.0002818766222092365,0.00034897321731890206,0.00019417582337216086,0.0005699808604072496,0.00015082159365409505,0.00039008685708896853,0.0003576417338599977,0.00036624591385851405,0.0005585441669768151,0.00021844729769023016,0.0002967712314671231,0.00031123586243377856,0.00029956562857490535,0.0002484247937065608,0.00023640264606476796,0.00021802442479332566,0.00033854295112653273,0.0001551631480228558,0.0002687684870128735,0.00018740673161634264,0.0002843822887854732,0.00036194095566915107,0.00027062858007162737,0.0003564521607857471,0.0003319759241526287,0.00016457562537515778,0.0001830056179048786,0.00022624022536406425,0.00014931371112123068,0.00030775028676554797,0.00043111687273829856,0.0005630851087227049,0.0003183727591179945,0.0002484417462700829,0.001079432524931883,0.00015244426368726734,0.0006105040613928679,0.0003774590220440212,0.00029897599087173426,0.00048587487927077855,0.0004285174048964072,0.0003360737835167804,0.00020885394817370524,0.0002662124141513555,0.00018982140028021843,0.0002029566841722564,0.00014627198769334634,0.00022582332574245427,0.0002948061776642658,0.0003642827790070858,0.0004343452126831461,0.0001631494699424355,0.0001488371620992499,0.00025913646843562073,0.00043505543314270644,0.00018626735814198606,0.0006418222030380064,0.0004435381550085384,0.00017543261772125018,0.00030836004399355374,0.00015190474708922522,0.4926213692342085
3_3_3,3.74602064962239e-09,7.822207247773894e-09,4.209304459080059e-09,2.97913415719518e-09,4.3995838932164235e-09,6.823227611458191e-09,4.043874363514193e-09,2.1757878688583987e-09,2.3422418477547937e-09,3.8799093077192824e-09,6.368390515716283e-09,5.81674946416783e-09,3.234035185657751e-09,5.801600957290799e-09,2.3231037222574756e-09,3.357891652841411e-09,6.224587501398852e-09,2.9001995015117506e-09,3.711708761374668e-09,3.795531562708978e-09,5.228826055506731e-09,5.278540125264722e-09,2.5519867905588932e-09,8.636888929802696e-09,2.509810698511191e-09,2.5957247832885517e-09,3.984722341348758e-09,3.1933566130439968e-09,6.1492525907922155e-09,2.7761923311524677e-09,3.8110325080105624e-09,1.8175401937033417e-09,4.082836302964861e-09,1.0397374218708016e-09,2.6869434513139153e-09,2.3151315656771374e-09,1.7338195685450034e-09,1.945267705331957e-09,4.716480602696984e-09,5.3181036951899505e-09,3.945599405057956e-09,2.93111315913452e-09,4.090210722544698e-09,3.4620433314157977e-09,4.490016992097226e-09,5.665937300434514e-09,3.994024526045312e-09,5.69462499829196e-09,5.860491918639623e-09,3.4125092168000697e-09,4.758106519951957e-09,3.5862452048132186e-09,5.98930020486196e-09,3.923587297015947e-09,2.982380695653787e-09,1.7301014012614733e-09,4.732296644798414e-10,3.2247587566566826e-09,4.7164747438933365e-09,1.3024192173763081e-08,2.701619481639061e-09,5.681793867579276e-09,2.1456038746179022e-09,4.8440580620628184e-09,8.292456561621462e-09,5.962144532924259e-09,4.069100705743075e-09,2.982089270990355e-09,4.497883280622011e-09,2.73510704213257e-09,3.890431363335229e-09,2.9843462424635566e-09,1.963097335924416e-09,2.323367202780637e-09,4.072734677175697e-09,6.084419184081255e-09,3.012531958418448e-09,3.425042962032094e-09,1.9282017056876572e-09,5.8025781458385655e-09,4.401547676117564e-09,7.693794494375177e-09,5.880292169691295e-09,2.235016633988779e-09,4.117755847266065e-09,1.9242157561342276e-09,0.46729719476005066
4_0_0,4.927418159642184,4.926127606058278,4.92725533621357,4.927651453501159,4.92692130420307,4.926225326078914,4.927592336949697,4.92734158097733,4.927771208910625,4.927614308946394,4.927174040195676,4.927091225624293,4.927581599074005,4.927199566274637,4.926881456370061,4.927835198176617,4.927195897278413,4.927752124776035,4.927864949458679,4.92770249865705,4.927577831826104,4.927251727083109,4.927678295973721,4.926041999211993,4.927925861422308,4.92789332431551,4.927558531725135,4.927839206202076,4.926701398433258,4.927624170155775,4.926715373039672,4.927388454095103,4.927420453216212,4.926732230043349,4.927803808598268,4.927372143008262,4.927805881478293,4.9279340382661525,4.927475529591543,4.927353199674031,4.927690288729991,4.927432768936675,4.927670056744697,4.92759026588926,4.92720005445677,4.927235125977542,4.927523230871394,4.9272192020943875,4.927273049403352,4.927481191431457,4.927519897642775,4.927537705335566,4.926814806839762,4.927801622175661,4.927650924686134,4.926799773802726,4.92694465687158,4.927728746920159,4.927614321009079,4.924990100520005,4.927865584191194,4.926237363948482,4.92717387080781,4.927385846269392,4.926502156804645,4.926641165084584,4.927442247203819,4.9277545807130085,4.927627364281155,4.927937538360753,4.9275335566364635,4.927947465592546,4.9279971993557385,4.927793981801994,4.926537900075513,4.926116745343397,4.9277795033382334,4.927741437774703,4.927818457812004,4.927098502735289,4.927614136487554,4.926465512543059,4.927013659107001,4.927814280461317,4.927331529545181,0.000545541616719524,0.00011071745699439071
4_0_2,14.71025519928283,14.705109565530622,14.709601814717539,14.711185562306976,14.708278823511566,14.705495408956205,14.710948222034904,14.709943107995493,14.711658807878448,14.711034761981514,14.709283012887077,14.708954440920516,14.710903603902857,14.709382933015064,14.70811114680215,14.711917118694863,14.709371032285404,14.711580975833433,14.712033716641315,14.71138735711285,14.710890701991724,14.70959436075307,14.711290282698222,14.70476709000189,14.712274859253668,14.7121481748684,14.710816181439414,14.711931003311893,14.707402623069552,14.711071684305894,14.707441011161366,14.710134430113571,14.710265428032583,14.707518446856163,14.711789470535347,14.710070019382163,14.711797657204045,14.712308569129496,14.710483629267141,14.709996108216876,14.711338661476088,14.710312389137993,14.711255979266793,14.710941466994734,14.709385404611075,14.709525643654692,14.710674529377632,14.70946194656492,14.70967819749556,14.710506001505188,14.710656608474006,14.71072944739779,14.70784773119739,14.711780234890046,14.711181943534685,14.707778950053696,14.708361034138196,14.711492599439518,14.711036464189792,14.700586679663633,14.712033473936144,14.70555440350239,14.709279949287229,14.710127221559137,14.706607060211025,14.7071608907316,14.710351363034922,14.711593797118974,14.711088980889588,14.712321931878781,14.710713616259909,14.712361662544799,14.712558961853349,14.711750956386364,14.706748267566761,14.705071365661444,14.711692093448175,14.711541244649897,14.711847039540784,14.708983240073783,14.711035172726016,14.70646363908745,14.708645282106698,14.711828852085961,14.709908580036771,0.0021732027521974566,0.00014773733911213908
