,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999998,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,0.9999999999999997,1.0000000000000004,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0000000000000004,1.0000000000000004,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999997,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000004,1.0,0.9999999999999996,0.9999999999999999,1.0000000000000002,1.0000000000000004,1.0,1.0,0.9999999999999999,0.9999999999999997,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,0.9999999999999993,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999996,1.0000000000000004,0.9999999999999996,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0000000000000002,1.0,2.4378001441218704e-16,2.4378001441218704e-16
1_1_1,1.886935595868495e-05,2.7902839005696002e-05,1.2508877156944008e-05,2.6752782172647076e-05,5.991515221088935e-05,3.2237340206029705e-05,9.18680460342027e-06,2.406315522164871e-05,1.611676793014283e-05,7.845020579393214e-06,1.2946472097500184e-05,2.174309329013626e-05,9.126250246280648e-06,1.1480836199532611e-05,1.865895330834742e-05,1.4419664009352133e-05,1.5388500557793076e-05,1.520530014000759e-05,7.838535099644878e-06,9.140842278980778e-06,8.84998568124918e-06,2.813053290712873e-05,2.6052842808740672e-05,4.721568305896753e-05,1.4003617216596668e-05,1.9396538006928554e-05,1.9732852692232886e-05,1.0679552143214027e-05,3.48213015638807e-05,1.2398604444175092e-05,7.194964319225861e-05,3.1230758476471535e-05,2.1875607690586047e-05,5.532983714494669e-05,1.4060587134844818e-05,2.2488188973059947e-05,2.7773685513079044e-05,2.4987139658893384e-05,9.57206757645438e-06,9.02014647709278e-06,9.457081926727214e-06,2.311918600714752e-05,7.865906617579945e-06,1.466058352894759e-05,7.5957077012387225e-06,1.118071807491409e-05,2.1496803713945757e-05,1.100587475784371e-05,1.54094592170417e-05,2.0174603397559698e-05,1.7027887403158387e-05,8.628539341610224e-06,1.4362832344292691e-05,8.231830882368543e-06,2.047492401324172e-05,6.667678010396086e-05,6.586600536066434e-05,2.022707951986288e-05,9.667342045562363e-06,6.96863010398104e-05,1.2760187261618616e-05,4.101282414416366e-05,3.070690035907465e-05,1.2931232319956113e-05,2.5224512424215657e-05,2.09505060772809e-05,1.857424727516909e-05,1.2426708355540778e-05,1.124037987451204e-05,1.2697621269247236e-05,8.783369188382462e-06,1.0790853849389335e-05,2.0360662066343123e-05,2.232334722148275e-05,2.1469976057996157e-05,2.1381342972060556e-05,1.0436096828649478e-05,8.781772728010532e-06,2.261270602396949e-05,2.1440385898126847e-05,7.6027853229150855e-06,3.742295556967854e-05,2.1980794049360125e-05,1.873848011138037e-05,2.1147402486665178e-05,1.4665464998212218e-05,0.6934877703046393
2_0_0,2.9863339595161555,2.9862395333081415,2.986315016887194,2.9863454694738287,2.986295265043715,2.9862337749410144,2.9863562330449485,2.98629693005896,2.986338072423033,2.9863427797613284,2.986340121647527,2.9863375570399664,2.986347924828725,2.9863532088180778,2.9862657603397675,2.9863663088956725,2.986337376655932,2.986335537397042,2.986367245518927,2.986349090578891,2.9863502886269733,2.9863275747612215,2.986329388506063,2.9862193139899844,2.9863431217366143,2.9863575160389932,2.986351716799448,2.9863515421304094,2.9863053536406587,2.9863395321774013,2.9861733063396128,2.986304690382397,2.98633828803139,2.986238647791348,2.986354317863848,2.9863197326636697,2.9863398112273787,2.9863365676456812,2.986341370591315,2.9863500471813555,2.9863464112266054,2.986327261573664,2.9863549243558127,2.986359099192275,2.986347200615642,2.986344598315524,2.9863331247062685,2.9863480083869334,2.986331829899297,2.9863407347257627,2.986337430939886,2.98634497697403,2.9863011884012796,2.98634923810175,2.9863359033875065,2.9861945404259713,2.9862085272198984,2.9863394012977817,2.9863484872264983,2.986184756968714,2.9863477343354714,2.9862702489589306,2.9863001047112787,2.9863415443463324,2.986298502294744,2.986305071838966,2.9863313288458966,2.986344263719949,2.9863516062025734,2.986351416138735,2.9863419232324246,2.986360826137536,2.986340983014096,2.9863357162438087,2.9862775972307416,2.9862764487152664,2.9863431884682625,2.986360581108445,2.9863309518018544,2.9863302602863704,2.986357418308187,2.9862953564349923,2.9863358394879325,2.98633559563956,2.986322755306525,4.250128381292447e-05,1.4231979359030137e-05
2_0_2,8.91819051775944,8.917626550292423,8.918077380085967,8.918259263046863,8.917959410022508,8.917592158598458,8.918323550646415,8.917969354479572,8.918215082803316,8.91824319823262,8.918227322161762,8.918212004587437,8.91827392812883,8.91830548781803,8.917783191377646,8.918383730907163,8.918210927212233,8.91819994192048,8.9183893251083,8.918280890801368,8.918288046382408,8.918152383779239,8.918163216654992,8.91750579124681,8.918245240743586,8.918331213602587,8.918296576431015,8.918295533184674,8.918019665182863,8.918223801445542,8.917231015495256,8.918015703799902,8.918216370562252,8.917621261562692,8.918312111824054,8.918105545696417,8.91822546812158,8.918206095257787,8.918234781705214,8.918286604300082,8.918264887846028,8.918150513218055,8.918315734224215,8.9183406693285,8.918269602624878,8.918254059888314,8.918185531717905,8.918274427196605,8.918177798269683,8.91823098388241,8.918211251432634,8.91825632149802,8.917994787846897,8.9182817719109,8.918202127861278,8.917357833269882,8.917441368040839,8.918223019743596,8.918277287159993,8.917299402752299,8.91827279037061,8.917809999817235,8.917988315398594,8.918235819488833,8.917978744807831,8.918017982091133,8.918174805646501,8.91825206145304,8.918295915868692,8.918294780673827,8.918238082455542,8.918350983888866,8.918232466829599,8.91820101011342,8.917853887722215,8.917847028151463,8.918245639310785,8.918349520398365,8.918172553689764,8.918168423502056,8.918330629884338,8.917959955865198,8.918201746210094,8.918200289783883,8.918123600667913,0.00025384168022405616,2.846357502883734e-05
2_2_2,7.1400449947368e-06,7.110055352530587e-06,7.139332026850419e-06,7.164352964834881e-06,7.299534623486892e-06,7.164382442726482e-06,7.1075055941402025e-06,7.099169853596104e-06,7.110427449875011e-06,7.1320444459015825e-06,7.12416096619966e-06,7.118640238778389e-06,7.127086622879451e-06,7.059512821952213e-06,7.111354175808562e-06,7.134979651767123e-06,7.113835033368541e-06,7.123730452659565e-06,7.1121864933675076e-06,7.136473761090859e-06,7.112098294427071e-06,7.201028964230067e-06,7.134314266509883e-06,7.1443659646146185e-06,7.109432080270043e-06,7.122146872727604e-06,7.166022620958318e-06,7.119339326925145e-06,7.204749778089255e-06,7.102793537423256e-06,7.303740022878091e-06,7.088919743393205e-06,7.190149811426132e-06,6.994825728709367e-06,7.105732583840655e-06,7.093819308378729e-06,7.071577305005695e-06,7.086946794333641e-06,7.143988556577381e-06,7.123003591760555e-06,7.148667161856768e-06,7.178838515139231e-06,7.088515867574134e-06,7.158611599971797e-06,7.111559101925482e-06,7.083268084940758e-06,7.1785836510902694e-06,7.08589427079953e-06,7.148383751050199e-06,7.134291026018146e-06,7.171720389844315e-06,7.102216481883505e-06,7.151975153825809e-06,7.112308921586624e-06,7.1456532644780755e-06,7.080969770847236e-06,6.885882373075118e-06,7.160563305354659e-06,7.145531953643501e-06,6.917301227229335e-06,7.082605263674801e-06,7.24459824592392e-06,7.123434279294918e-06,7.146051787365149e-06,7.046816104509948e-06,7.183918558600274e-06,7.140866865451632e-06,7.126193956256666e-06,7.144923455566413e-06,7.108302254064811e-06,7.127076495874892e-06,7.111608883863284e-06,7.074434423224809e-06,7.10421764431053e-06,7.183159176128074e-06,7.137429357126765e-06,7.114748171539955e-06,7.111548355519945e-06,7.0863794071014694e-06,7.132206418146344e-06,7.114266542392837e-06,7.182186148610105e-06,7.127480901838784e-06,7.1021642755283635e-06,7.124942356703318e-06,5.7374722812394865e-08,0.00805265782373879
3_1_1,7.54756202145808e-05,0.00011053002724222967,4.94213622608311e-05,0.00010686090841968597,0.00023890791814549587,0.0001273995052846305,3.677042217234255e-05,9.53568453526657e-05,6.425851768437342e-05,3.127803402641764e-05,5.1664366442285084e-05,8.695297693641099e-05,3.635191981519796e-05,4.565814454639429e-05,7.404440599667238e-05,5.7686765611008764e-05,6.153397816133184e-05,6.021348005610021e-05,3.116228024632357e-05,3.656394878804631e-05,3.531682971713346e-05,0.00011241656938925794,0.00010403092740837148,0.00018690485631326612,5.571953532708911e-05,7.747231115497769e-05,7.893352883316625e-05,4.264497909759751e-05,0.00013907049958592412,4.92282685469312e-05,0.00028454706969596646,0.00012453511650729383,8.747012090487406e-05,0.00022043341040457582,5.6127443930240556e-05,8.975612843505504e-05,0.00011070133794201569,9.965148124897273e-05,3.8324013455205524e-05,3.600330417398283e-05,3.7848641674861006e-05,9.236779658398426e-05,3.122999085998032e-05,5.865232377750045e-05,3.0251281236122737e-05,4.465248403107326e-05,8.595924274982376e-05,4.389019695723154e-05,6.16554501929081e-05,8.066603876037902e-05,6.722900605537367e-05,3.4451030219317824e-05,5.688001720188671e-05,3.267571834768243e-05,8.181415658539317e-05,0.0002642025957323695,0.0002618752458550297,8.085525996463536e-05,3.8706359088155395e-05,0.00027760263079107194,5.0659483250340105e-05,0.0001637258379107954,0.00012252572172091048,5.1785715297996005e-05,0.00010052747169448648,8.379451873448846e-05,7.430877017500497e-05,4.962468604004697e-05,4.502095695658645e-05,5.062204768648973e-05,3.5125321564695065e-05,4.283582687147747e-05,8.105777789010788e-05,8.910117254760679e-05,8.58527968969278e-05,8.550788960221342e-05,4.154484601178165e-05,3.488610902753676e-05,9.010107281461931e-05,8.574624597442316e-05,3.027989686387208e-05,0.0001494126714409798,8.790196312933465e-05,7.436748805366236e-05,8.425191564638198e-05,5.824916528821702e-05,0.6913690310935786
3_1_3,0.00030189526655008555,0.00043783669897081497,0.00019525901622276465,0.00042684359610104146,0.000952630365549525,0.0005034731104687354,0.00014717456233138168,0.0003778776254342425,0.00025620255332151694,0.00012470527038864818,0.00020617251864298272,0.0003477343401517752,0.00014479792232183604,0.0001815779031412627,0.0002938307400633948,0.0002307795052992346,0.0002460558424220045,0.0002384473273846581,0.0001238863764473546,0.00014625811387743832,0.00014093564737756127,0.0004492444247313673,0.00041540318409378943,0.0007398691081066095,0.00022170461881714198,0.0003094345492762546,0.00031574258781695043,0.00017028750062240153,0.0005554244955375264,0.0001954592901999796,0.001125329206375728,0.0004965936147586467,0.0003497512919106619,0.0008782040745086487,0.00022405109629705837,0.00035823972314093824,0.0004412373077523831,0.00039742114746535,0.00015343915988721125,0.00014370475188359809,0.00015147586620599081,0.0003690359099642437,0.0001239923605162913,0.0002346492605637569,0.00012048120496760937,0.0001783288261796703,0.00034372511897336726,0.00017502919407398295,0.00024669227420298537,0.0003225347076749996,0.0002654315916110142,0.00013755207413249857,0.00022525754526213227,0.00012970414295365853,0.0003269148258352666,0.0010468863595825511,0.0010411842044483225,0.00032320894657723094,0.0001549735415174377,0.0011058589632716974,0.0002011242617818718,0.0006536040996680962,0.0004888983358033209,0.00020738629100232567,0.0004006330189987811,0.0003351480553283053,0.00029728221246970785,0.0001981706976711345,0.00018032189195694775,0.00020181667555163742,0.0001404686730753766,0.00017004289830753575,0.00032269890512760384,0.0003556374799258745,0.000343302792472376,0.00034196164355899147,0.00016538503412544565,0.0001385871213905688,0.00035901069574512774,0.0003429238043401369,0.00012059687537450817,0.0005965361646961421,0.0003515230207170719,0.0002951425754137221,0.000335667090222236,0.0002313686862598096,0.6892802213843089
3_3_3,2.8152736219946686e-09,6.35173110774073e-09,3.5898469733003947e-09,2.193058854950244e-09,3.159818564547298e-09,5.746696633533787e-09,3.1737915453334913e-09,1.9793665783068366e-09,1.8709808368847333e-09,3.156847452281032e-09,5.069338993566951e-09,4.443166400550888e-09,2.6359852506428127e-09,4.671787956924473e-09,2.0057339634535557e-09,2.5702881530885944e-09,4.872969081958012e-09,2.5535834745874694e-09,3.038279396634956e-09,3.0273158428860724e-09,4.222557799639605e-09,3.998210798773837e-09,1.889895944293094e-09,7.119355639227289e-09,2.1077425469961515e-09,1.9674603908181313e-09,2.993953508908739e-09,2.567896699418502e-09,4.593498022453454e-09,2.3395371451153544e-09,3.8791791932607035e-09,1.3574061531947535e-09,3.085451183068706e-09,7.029340033670825e-10,2.123384922140328e-09,1.7549814464546798e-09,1.3572013682420633e-09,1.5171656259395418e-09,3.7246921335976898e-09,4.2562901745653055e-09,3.1340698201378543e-09,2.177628616600356e-09,3.367342541093724e-09,2.6350439428637537e-09,3.572957540088503e-09,4.478934532072066e-09,3.0304731346838956e-09,4.541866538518937e-09,4.584610548203698e-09,2.56342665709419e-09,4.0891072501603594e-09,2.8522876473984867e-09,4.8833327786085965e-09,3.2767226287562464e-09,2.2658536577491255e-09,1.9552282844233573e-09,5.170472128482988e-10,2.458104772173714e-09,3.738792085790055e-09,9.751115419356211e-09,2.292106436515477e-09,4.114125999867453e-09,1.5503069890902449e-09,3.766452072998241e-09,6.465576813817868e-09,4.468462175763605e-09,3.062793298461603e-09,2.3747011805870223e-09,3.532147104077274e-09,2.231973764966129e-09,3.0624492724892923e-09,2.503084931386862e-09,1.6402461795202614e-09,1.7794212227272016e-09,3.015081379136724e-09,4.5078103643413585e-09,2.486784647430679e-09,2.8166053408086826e-09,1.5535082704618721e-09,4.428784232910561e-09,3.548875466528548e-09,5.790596631231045e-09,4.486388418814538e-09,1.976211293889689e-09,3.25967969617959e-09,1.478490741194909e-09,0.4535693316517355
4_0_0,4.931968638099467,4.931504240748252,4.9318781815765504,4.9320248298887766,4.931774241504944,4.931477328884458,4.932080066798702,4.931788860353564,4.931990567880423,4.932014072338507,4.932000233082346,4.931986210769155,4.932039742128773,4.932066127723098,4.931633501797473,4.93212892995017,4.9319859334501395,4.931979641606398,4.932135239552693,4.93204454109086,4.93205103588434,4.931936080578486,4.931946284210015,4.931404965491504,4.932015984682061,4.932085310857684,4.932055802313528,4.932057083745515,4.93182556568579,4.931998951495532,4.931180276737565,4.931824087222317,4.93198958792731,4.931496546790671,4.932070795381824,4.9318987352645225,4.93199839837126,4.931982249991999,4.93200618548017,4.932049634217752,4.932031308488784,4.931935679534899,4.932074941078659,4.932093067608287,4.932035503552947,4.932022610913464,4.931964173986465,4.932039720099291,4.931958357782732,4.932002332404658,4.931989192175928,4.932024789166346,4.931809394787284,4.9320467213043875,4.9319784722707025,4.931283601198236,4.931349388968427,4.931995568872985,4.932041555131749,4.931228396801162,4.932039670741835,4.931650683597985,4.931801067060877,4.9320064418904614,4.931793741957028,4.931825269524141,4.931955607397661,4.932020857467345,4.932056562595075,4.932056818147538,4.932009276170115,4.932103620308504,4.932005109783125,4.9319779090641775,4.931689024188318,4.931683425800986,4.932016309249629,4.932102277030043,4.931955066924815,4.931950095278894,4.932086265498324,4.931775988538563,4.9319777827954105,4.931979439108376,4.931914259259537,0.00021007066884676243,4.259414454587493e-05
4_0_2,14.728505431225086,14.726652922399175,14.728141875100366,14.728730006070775,14.727734065670765,14.726544159870663,14.728948049361051,14.727785933372825,14.7285912056926,14.72868461460937,14.72863017602876,14.728575652023162,14.728786649079055,14.728891506628823,14.727168268962295,14.729143667532849,14.728573934203446,14.728546073447921,14.729167129869806,14.72880672998127,14.728832034536165,14.728376714391318,14.728416131069636,14.726256753056838,14.728692012150304,14.728970037825363,14.728853312589683,14.728856277918624,14.727937090029348,14.728623441508608,14.725358911142106,14.727929403812883,14.728589342599486,14.726625579475865,14.728910915798696,14.728226512619447,14.728623165965766,14.728558944130524,14.728654111711696,14.728826657846971,14.72875399816274,14.7283739721229,14.728926287582164,14.72900101051515,14.728770419372296,14.728719082871454,14.72848798264037,14.728786995403768,14.728464227584439,14.728639469022507,14.728583933585943,14.728727455438316,14.727868256621864,14.72881396844959,14.728544386476267,14.725772167190298,14.726037596038163,14.728612694351465,14.728794837105928,14.7255590716589,14.728785496372549,14.72724171468664,14.727838042979094,14.728655734401213,14.727808265232866,14.727934815803513,14.728453542848838,14.728712196244745,14.728855037587747,14.728854863351602,14.728666067198022,14.729041042140432,14.728648987780288,14.728541781563809,14.727392449442313,14.727370066988906,14.728693310542008,14.72903582211772,14.728450069253556,14.728431811753605,14.728972406706836,14.727739733550303,14.728542012320165,14.728545755971775,14.728287788575503,0.0008369302614334417,5.682468141901974e-05
