,36x8y5r60s0_5.png,36x8y5r60s1_75.png,36x8y5r90s1_75.png,36x8y5r90s2.png,36x8y5r0s1_25.png,36x8y5r60s0_75.png,36x8y5r0s1_0.png,36x8y5r150s0_75.png,36x8y5r30s1_25.png,36x8y5r240s1_25.png,36x8y5r210s1_5.png,36x8y5r150s1_0.png,36x8y5r0s0_75.png,36x8y5r90s1_0.png,36x8y5r270s1_0.png,36x8y5r30s1_5.png,36x8y5r180s1_75.png,36x8y5r240s0_5.png,36x8y5r150s0_5.png,36x8y5r150s1_75.png,36x8y5r330s1_75.png,36x8y5r0s1_75.png,36x8y5r210s1_75.png,36x8y5r90s0_75.png,36x8y5r120s1_0.png,36x8y5r120s2.png,36x8y5r60s1_0.png,36x8y5r270s1_5.png,36x8y5r210s0_5.png,36x8y5r240s1_75.png,36x8y5r300s1_0.png,36x8y5r60s1_25.png,36x8y5r240s1_0.png,36x8y5r210s1_0.png,36x8y5r210s0_75.png,36x8y5r180s0_5.png,36x8y5r180s1_25.png,36x8y5r300s0_75.png,36x8y5r180s0_75.png,36x8y5r120s1_75.png,36x8y5r120s1_5.png,36x8y5r30s2.png,36x8y5r0s0_5.png,36x8y5r180s1_5.png,36x8y5r150s1_5.png,36x8y5r330s1_25.png,36x8y5r90s0_5.png,36x8y5r30s0_5.png,36x8y5r330s1_0.png,36x8y5r300s1_25.png,36x8y5r30s0_75.png,36x8y5r120s0_5.png,36x8y5r330s2.png,36x8y5r330s0_75.png,36x8y5r150s2.png,36x8y5r330s0_5.png,36x8y5r90s1_25.png,36x8y5r90s1_5.png,36x8y5r150s1_25.png,36x8y5r270s2.png,36x8y5r270s1_25.png,36x8y5r270s1_75.png,36x8y5r210s2.png,36x8y5r210s1_25.png,36x8y5r30s1_0.png,36x8y5r180s1_0.png,36x8y5r270s0_5.png,36x8y5r330s1_5.png,36x8y5r0s1_5.png,36x8y5r300s0_5.png,36x8y5r0s2.png,36x8y5r270s0_75.png,36x8y5r300s1_75.png,36x8y5r300s1_5.png,36x8y5r300s2.png,36x8y5r240s2.png,36x8y5r60s2.png,36x8y5r180s2.png,36x8y5r240s0_75.png,36x8y5r60s1_5.png,36x8y5r120s1_25.png,36x8y5r240s1_5.png,36x8y5r120s0_75.png,36x8y5r30s1_75.png,Mean,StDev,StDev/Mean
0_0_0,1.0,1.0000000000000004,0.9999999999999998,0.9999999999999997,1.0,1.0,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999997,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0000000000000004,1.0000000000000002,1.0000000000000002,0.9999999999999996,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999,1.0000000000000004,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999993,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999996,1.0,1.0000000000000004,0.9999999999999999,0.9999999999999996,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0,1.0,2.3300833084199697e-16,2.3300833084199697e-16
1_1_1,8.960016699825959e-17,9.746581939937098e-17,8.411499302923563e-17,8.387680110305228e-17,9.51567526241329e-17,1.0180208756353635e-16,1.2109331054489126e-16,6.609424260286448e-17,1.1269650613154526e-16,8.692284846967746e-17,7.464833694645043e-17,6.897057700915374e-17,1.2069893057465055e-16,9.368446954557734e-17,1.0028852220959551e-16,9.091754039816961e-17,7.653248290848271e-17,6.321275279215114e-17,3.7256655269891495e-17,7.608366624345848e-17,1.0311784107645613e-16,9.887177886792229e-17,7.794533031621746e-17,8.848918366104709e-17,8.830983898979252e-17,8.821644776169946e-17,9.79649751031874e-17,8.30435987905246e-17,4.3600033907677126e-17,8.769873276527889e-17,1.0549875238361484e-16,1.0314087912867233e-16,7.92443978258552e-17,7.955521420636946e-17,6.659679691213411e-17,4.3659806382332934e-17,6.478276339907721e-17,9.9918049684461e-17,6.519032177681144e-17,8.421396046705668e-17,8.082536062516667e-17,9.632667615987899e-17,1.2535685260330334e-16,6.950306247916167e-17,6.86568862132508e-17,1.105666500682196e-16,7.933392748604142e-17,1.1026041849760914e-16,1.080128160861218e-16,1.0627116615194842e-16,1.0985424806226831e-16,5.771457884743944e-17,9.667932855372109e-17,1.2109212369606955e-16,7.777357519294755e-17,1.1205653905212813e-16,7.5467286931746e-17,7.953516061858561e-17,7.851988219663492e-17,9.004886217252169e-17,7.830805904077094e-17,8.897195690964382e-17,8.165417463196258e-17,8.736252200415186e-17,1.1518751553031942e-16,7.547789068311344e-17,8.595122416342742e-17,9.481609542343067e-17,9.653699672571046e-17,9.815754248316667e-17,1.0030255881451365e-16,9.730268808644823e-17,9.046825712620864e-17,8.549055117226621e-17,9.299558464264011e-17,8.254799996261816e-17,9.255763466040256e-17,7.733820666872936e-17,8.433741371831123e-17,8.95887460511332e-17,9.204590840524271e-17,7.793646787191499e-17,7.851957389388184e-17,9.521732497208936e-17,8.789410072746663e-17,1.6999147429707333e-17,0.19340487346718085
2_0_0,2.9999999999999893,2.999999999999989,2.9999999999999876,2.999999999999987,2.9999999999999885,2.9999999999999885,2.9999999999999893,2.9999999999999893,2.9999999999999876,2.999999999999989,2.9999999999999885,2.9999999999999876,2.9999999999999885,2.999999999999989,2.999999999999989,2.9999999999999885,2.9999999999999885,2.999999999999988,2.9999999999999893,2.999999999999987,2.9999999999999885,2.999999999999989,2.9999999999999876,2.99999999999999,2.9999999999999876,2.99999999999999,2.9999999999999893,2.999999999999989,2.9999999999999876,2.999999999999988,2.999999999999988,2.9999999999999902,2.9999999999999885,2.999999999999987,2.999999999999988,2.9999999999999902,2.99999999999999,2.999999999999988,2.9999999999999885,2.999999999999989,2.9999999999999893,2.999999999999988,2.9999999999999893,2.9999999999999885,2.999999999999988,2.9999999999999885,2.9999999999999893,2.9999999999999902,2.9999999999999885,2.999999999999988,2.9999999999999885,2.9999999999999893,2.999999999999987,2.9999999999999862,2.999999999999988,2.999999999999988,2.9999999999999885,2.999999999999989,2.999999999999989,2.999999999999989,2.9999999999999876,2.9999999999999893,2.9999999999999876,2.999999999999988,2.9999999999999885,2.999999999999989,2.999999999999988,2.999999999999987,2.999999999999988,2.9999999999999876,2.9999999999999885,2.999999999999988,2.9999999999999876,2.9999999999999876,2.9999999999999862,2.9999999999999876,2.999999999999989,2.999999999999988,2.999999999999986,2.9999999999999867,2.999999999999989,2.999999999999988,2.9999999999999893,2.9999999999999885,2.9999999999999893,1.3313862085939296e-15,4.4379540286464476e-16
2_0_2,8.999999999999936,8.999999999999927,8.999999999999927,8.999999999999927,8.99999999999993,8.999999999999932,8.999999999999934,8.999999999999934,8.999999999999927,8.99999999999993,8.999999999999929,8.999999999999929,8.99999999999993,8.99999999999993,8.99999999999993,8.99999999999993,8.999999999999929,8.99999999999993,8.999999999999934,8.999999999999924,8.999999999999929,8.999999999999934,8.999999999999927,8.999999999999936,8.999999999999929,8.999999999999932,8.999999999999934,8.99999999999993,8.999999999999932,8.999999999999925,8.999999999999925,8.999999999999936,8.999999999999929,8.999999999999924,8.99999999999993,8.999999999999941,8.999999999999934,8.999999999999927,8.999999999999934,8.999999999999932,8.999999999999934,8.999999999999929,8.999999999999934,8.99999999999993,8.99999999999993,8.99999999999993,8.999999999999936,8.99999999999994,8.99999999999993,8.999999999999927,8.99999999999993,8.999999999999936,8.999999999999925,8.999999999999922,8.999999999999929,8.999999999999929,8.99999999999993,8.999999999999934,8.99999999999993,8.999999999999932,8.999999999999925,8.999999999999932,8.999999999999925,8.999999999999927,8.999999999999929,8.99999999999993,8.999999999999929,8.999999999999925,8.999999999999929,8.99999999999993,8.99999999999993,8.999999999999929,8.999999999999927,8.999999999999929,8.999999999999924,8.999999999999927,8.999999999999929,8.999999999999929,8.999999999999922,8.999999999999924,8.999999999999932,8.999999999999929,8.999999999999934,8.999999999999927,8.999999999999929,3.943580768078307e-15,4.3817564089759315e-16
2_2_2,1.6395342063697986e-31,2.196790234268191e-31,2.04868337005989e-31,2.044066860493076e-31,1.9254596668227995e-31,1.8472206973612582e-31,1.8268161217722632e-31,2.1711622158809767e-31,1.9002080250510652e-31,2.2112328928883802e-31,2.3457161956619915e-31,2.17862550993615e-31,1.6455337149464019e-31,1.8659965787076042e-31,2.0578815135260883e-31,2.0391855845238577e-31,2.202825491971535e-31,2.086160246798136e-31,2.2072766500528386e-31,2.2823949721232787e-31,2.238440655507825e-31,2.0326351401337083e-31,2.302428820446886e-31,1.6766027932096444e-31,2.0463544128681022e-31,2.19223055236012e-31,1.908307624835225e-31,2.090708610235663e-31,2.1526594713514323e-31,2.3623718979880313e-31,2.062760250482412e-31,1.9479348001737445e-31,2.232446931030125e-31,2.2259375401284314e-31,2.1765088229196127e-31,1.9618621896536041e-31,2.1650364392566516e-31,1.9137672814670675e-31,2.0326958765436653e-31,2.223060263232623e-31,2.212233948764518e-31,2.0864500368349628e-31,1.3242418858008483e-31,2.1736107430360526e-31,2.3301854775983026e-31,2.021111587595864e-31,1.4584844593861818e-31,1.3547753545994503e-31,1.949157870811365e-31,2.1249527744990057e-31,1.6516208821720066e-31,1.850739727552811e-31,2.1593366449929833e-31,1.980851379798405e-31,2.2632343637119824e-31,1.8276991813040616e-31,1.9994711579324114e-31,2.0075250739689603e-31,2.1696727165517747e-31,2.115179341375587e-31,2.0974058109488907e-31,2.1153567463016906e-31,2.2617043922169975e-31,2.2276847499724597e-31,1.8159391102207545e-31,2.09936652288514e-31,1.784077531086616e-31,2.250330309327178e-31,1.9584896583932857e-31,1.817653833318512e-31,2.054881796291038e-31,1.9407283983855558e-31,2.2021194261140353e-31,2.2000574038332564e-31,2.2018392753747262e-31,2.278044272309029e-31,2.1437841388391237e-31,2.1726999324584863e-31,2.205497566793866e-31,2.1527155119098823e-31,2.0361276675816184e-31,2.344748714770497e-31,1.9512196573844996e-31,2.0970958277634077e-31,2.049257428402479e-31,2.1125752712723963e-32,0.10308979447834807
3_1_1,3.5840066799303727e-16,3.898632775974826e-16,3.364599721169414e-16,3.3550720441220797e-16,3.806270104965304e-16,4.0720835025414403e-16,4.843732421795633e-16,2.643769704114571e-16,4.507860245261794e-16,3.476913938787086e-16,2.985933477858007e-16,2.7588230803661404e-16,4.827957222986006e-16,3.7473787818230817e-16,4.0115408883838065e-16,3.636701615926772e-16,3.0612993163392985e-16,2.528510111686038e-16,1.4902662107956554e-16,3.0433466497383285e-16,4.1247136430582314e-16,3.954871154716878e-16,3.117813212648688e-16,3.539567346441873e-16,3.5323935595916894e-16,3.528657910467967e-16,3.918599004127484e-16,3.3217439516209734e-16,1.7440013563070798e-16,3.5079493106111443e-16,4.2199500953445794e-16,4.1256351651468793e-16,3.169775913034197e-16,3.182208568254767e-16,2.663871876485356e-16,1.7463922552933122e-16,2.5913105359630795e-16,3.996721987378426e-16,2.6076128710724493e-16,3.368558418682256e-16,3.233014425006656e-16,3.853067046395147e-16,5.014274104132118e-16,2.7801224991664575e-16,2.7462754485300236e-16,4.4226660027287695e-16,3.1733570994416475e-16,4.4104167399043525e-16,4.3205126434448573e-16,4.250846646077922e-16,4.394169922490718e-16,2.30858315389757e-16,3.86717314214883e-16,4.843684947842765e-16,3.110943007717892e-16,4.482261562085111e-16,3.0186914772698306e-16,3.181406424743415e-16,3.1407952878653876e-16,3.6019544869008557e-16,3.132322361630827e-16,3.558878276385741e-16,3.2661669852784925e-16,3.494500880166062e-16,4.607500621212761e-16,3.019115627324528e-16,3.438048966537086e-16,3.792643816937214e-16,3.861479869028406e-16,3.926301699326654e-16,4.0121023525805334e-16,3.8921075234579163e-16,3.618730285048333e-16,3.419622046890637e-16,3.719823385705592e-16,3.3019199985047155e-16,3.70230538641609e-16,3.093528266749164e-16,3.3734965487324377e-16,3.5835498420453163e-16,3.6818363362096956e-16,3.117458714876589e-16,3.140782955755263e-16,3.808692998883562e-16,3.515764029098654e-16,6.799658971882911e-17,0.19340487346718085
3_1_3,1.4336026719721445e-15,1.559453110389925e-15,1.3458398884677614e-15,1.3420288176488277e-15,1.5225080419861166e-15,1.6288334010165708e-15,1.937492968718247e-15,1.057507881645825e-15,1.8031440981047116e-15,1.39076557551483e-15,1.1943733911431986e-15,1.1035292321464528e-15,1.931182889194396e-15,1.498951512729228e-15,1.6046163553535173e-15,1.4546806463707043e-15,1.2245197265357152e-15,1.0114040446744118e-15,5.961064843182604e-16,1.2173386598953274e-15,1.649885457223287e-15,1.5819484618867461e-15,1.2471252850594711e-15,1.4158269385767448e-15,1.4129574238366712e-15,1.4114631641871819e-15,1.5674396016509882e-15,1.328697580648385e-15,6.976005425228297e-16,1.4031797242444528e-15,1.6879800381378259e-15,1.6502540660587462e-15,1.2679103652136747e-15,1.2728834273019023e-15,1.0655487505941388e-15,6.985569021173228e-16,1.0365242143852286e-15,1.5986887949513653e-15,1.0430451484289765e-15,1.3474233674728982e-15,1.2932057700026578e-15,1.5412268185580538e-15,2.0057096416528408e-15,1.1120489996665794e-15,1.098510179412006e-15,1.7690664010915015e-15,1.2693428397766552e-15,1.7641666959617355e-15,1.7282050573779372e-15,1.7003386584311631e-15,1.757667968996282e-15,9.234332615590253e-16,1.5468692568595268e-15,1.937473979137099e-15,1.2443772030871526e-15,1.7929046248340382e-15,1.2074765909079283e-15,1.272562569897362e-15,1.2563181151461507e-15,1.4407817947603377e-15,1.252928944652327e-15,1.4235513105542917e-15,1.3064667941113925e-15,1.3978003520664202e-15,1.8430002484850985e-15,1.2076462509298074e-15,1.3752195866148296e-15,1.5170575267748805e-15,1.5445919476113575e-15,1.5705206797306565e-15,1.604840941032208e-15,1.5568430093831612e-15,1.4474921140193282e-15,1.3678488187562503e-15,1.4879293542822315e-15,1.3207679994018818e-15,1.480922154566431e-15,1.2374113066996616e-15,1.3493986194929704e-15,1.4334199368181222e-15,1.4727345344838737e-15,1.2469834859506314e-15,1.2563131823021015e-15,1.5234771995534199e-15,1.4063056116394567e-15,2.7198635887531546e-16,0.19340487346718083
3_3_3,1.3056469908903895e-46,2.0005200723970805e-46,1.758026370796193e-46,1.8259570249456036e-46,1.8340854985791364e-46,1.73850193146599e-46,2.0330740461326067e-46,1.708210603427833e-46,2.0230039289387865e-46,2.2016843417340505e-46,1.9665483641410364e-46,1.6780535988913818e-46,1.8185084890360953e-46,1.745609579406575e-46,1.993146595668702e-46,1.9417412918987026e-46,1.8350516893489373e-46,1.7404338024072606e-46,1.1509793348910188e-46,1.926905309242577e-46,2.2059743270352897e-46,1.9255086362501175e-46,1.9479485503276746e-46,1.4832833470068594e-46,1.878871926030236e-46,2.055714845319489e-46,1.755556074802752e-46,1.835091646416573e-46,1.2800537175332612e-46,2.2600870484913563e-46,2.0572625880179926e-46,1.8292648749643432e-46,2.085054692740608e-46,1.9480648136056627e-46,1.760383509648961e-46,1.1694627198787455e-46,1.6254713845906973e-46,1.9608253484575466e-46,1.5284292821687898e-46,2.0317409561096138e-46,1.9219261028578063e-46,2.038703277568821e-46,1.4961346592705436e-46,1.7231869507859596e-46,1.803477460660592e-46,2.0989530070427133e-46,1.0109077698353272e-46,1.2713531609725902e-46,2.0540128441831774e-46,2.0969982986977217e-46,1.7228985939353354e-46,1.0228925643187963e-46,2.0282871897014447e-46,2.1698527059457724e-46,1.8956754464083252e-46,1.9653535024985677e-46,1.580918605077523e-46,1.6797825942371824e-46,1.8279438996053274e-46,1.971317206545613e-46,1.819040092906489e-46,1.9167249113144383e-46,2.0018438261771078e-46,1.997344173610232e-46,1.9860782556301616e-46,1.799249736951669e-46,1.7269967697997892e-46,2.0519148398971447e-46,1.835294942328931e-46,1.770088297479612e-46,1.975429978488508e-46,1.929658711988185e-46,2.0170777366683608e-46,1.9377976827322806e-46,2.025902958900083e-46,2.202570413526417e-46,1.9753413001342167e-46,1.8174530564435617e-46,2.1342284963399097e-46,1.9087712450754005e-46,1.917548551396058e-46,2.1560243531666404e-46,1.5979451015803745e-46,2.017587372699598e-46,1.8422408071312005e-46,2.6107825629603222e-47,0.14171776853786672
4_0_0,4.999999999999945,4.999999999999942,4.999999999999942,4.999999999999941,4.999999999999942,4.999999999999942,4.999999999999943,4.999999999999944,4.9999999999999405,4.999999999999941,4.999999999999941,4.999999999999941,4.999999999999943,4.999999999999943,4.999999999999941,4.999999999999942,4.999999999999943,4.999999999999941,4.999999999999947,4.99999999999994,4.99999999999994,4.999999999999944,4.9999999999999405,4.999999999999945,4.9999999999999405,4.999999999999943,4.999999999999944,4.999999999999943,4.999999999999943,4.999999999999939,4.999999999999941,4.999999999999943,4.999999999999941,4.99999999999994,4.999999999999942,4.999999999999948,4.999999999999946,4.9999999999999405,4.999999999999945,4.999999999999942,4.999999999999943,4.999999999999941,4.999999999999946,4.999999999999943,4.999999999999942,4.999999999999941,4.999999999999948,4.999999999999947,4.999999999999941,4.99999999999994,4.999999999999942,4.999999999999947,4.99999999999994,4.999999999999936,4.999999999999941,4.9999999999999405,4.999999999999943,4.999999999999944,4.999999999999942,4.9999999999999405,4.9999999999999405,4.999999999999943,4.9999999999999405,4.99999999999994,4.9999999999999405,4.999999999999942,4.999999999999941,4.999999999999939,4.999999999999942,4.9999999999999405,4.999999999999941,4.999999999999941,4.9999999999999405,4.9999999999999405,4.999999999999939,4.9999999999999405,4.999999999999941,4.999999999999942,4.999999999999938,4.999999999999939,4.999999999999941,4.9999999999999405,4.999999999999945,4.999999999999942,4.999999999999941,2.2602684533991344e-15,4.520536906798322e-16
4_0_2,14.999999999999783,14.999999999999764,14.999999999999766,14.999999999999766,14.99999999999977,14.999999999999767,14.99999999999977,14.999999999999778,14.999999999999762,14.999999999999764,14.999999999999764,14.999999999999767,14.999999999999769,14.99999999999977,14.999999999999766,14.999999999999767,14.999999999999769,14.999999999999766,14.999999999999783,14.999999999999758,14.999999999999758,14.999999999999773,14.999999999999762,14.99999999999978,14.999999999999767,14.99999999999977,14.999999999999773,14.99999999999977,14.999999999999776,14.999999999999757,14.999999999999762,14.999999999999773,14.999999999999766,14.999999999999757,14.999999999999767,14.999999999999792,14.99999999999978,14.99999999999976,14.999999999999778,14.99999999999977,14.99999999999977,14.999999999999764,14.99999999999978,14.99999999999977,14.999999999999766,14.999999999999766,14.99999999999979,14.999999999999787,14.999999999999766,14.999999999999757,14.999999999999769,14.999999999999787,14.999999999999757,14.99999999999975,14.999999999999767,14.999999999999764,14.999999999999773,14.999999999999778,14.999999999999767,14.999999999999766,14.999999999999764,14.999999999999773,14.999999999999758,14.999999999999762,14.999999999999764,14.999999999999769,14.999999999999769,14.999999999999755,14.999999999999769,14.999999999999764,14.999999999999767,14.999999999999764,14.999999999999758,14.999999999999762,14.999999999999755,14.999999999999762,14.999999999999766,14.999999999999769,14.999999999999751,14.99999999999976,14.999999999999769,14.99999999999976,14.99999999999978,14.999999999999766,14.999999999999767,8.347617222568528e-15,5.565078148379105e-16
