,161x8y5r90s1_5.png,161x8y5r240s0_5.png,161x8y5r330s0_75.png,161x8y5r120s1_25.png,161x8y5r120s0_75.png,161x8y5r270s0_5.png,161x8y5r180s2.png,161x8y5r0s0_75.png,161x8y5r0s1_75.png,161x8y5r330s1_25.png,161x8y5r210s1_0.png,161x8y5r180s1_25.png,161x8y5r0s1_25.png,161x8y5r270s1_0.png,161x8y5r30s0_5.png,161x8y5r120s2.png,161x8y5r240s1_25.png,161x8y5r330s1_0.png,161x8y5r300s2.png,161x8y5r240s1_75.png,161x8y5r240s2.png,161x8y5r150s1_25.png,161x8y5r90s1_75.png,161x8y5r300s0_5.png,161x8y5r330s1_75.png,161x8y5r120s1_75.png,161x8y5r120s1_5.png,161x8y5r60s2.png,161x8y5r150s0_75.png,161x8y5r0s1_0.png,161x8y5r330s0_5.png,161x8y5r30s0_75.png,161x8y5r150s1_0.png,161x8y5r90s0_5.png,161x8y5r90s2.png,161x8y5r60s0_75.png,161x8y5r60s1_0.png,161x8y5r60s1_75.png,161x8y5r240s1_5.png,161x8y5r240s1_0.png,161x8y5r210s1_75.png,161x8y5r90s1_0.png,161x8y5r270s2.png,161x8y5r120s1_0.png,161x8y5r300s0_75.png,161x8y5r270s1_5.png,161x8y5r150s1_5.png,161x8y5r270s1_25.png,161x8y5r210s1_5.png,161x8y5r90s1_25.png,161x8y5r300s1_0.png,161x8y5r0s1_5.png,161x8y5r270s0_75.png,161x8y5r330s2.png,161x8y5r60s1_25.png,161x8y5r0s0_5.png,161x8y5r60s0_5.png,161x8y5r150s1_75.png,161x8y5r210s2.png,161x8y5r210s0_5.png,161x8y5r0s2.png,161x8y5r120s0_5.png,161x8y5r90s0_75.png,161x8y5r210s1_25.png,161x8y5r240s0_75.png,161x8y5r180s0_75.png,161x8y5r180s1_75.png,161x8y5r30s1_5.png,161x8y5r150s2.png,161x8y5r30s2.png,161x8y5r270s1_75.png,161x8y5r300s1_75.png,161x8y5r30s1_75.png,161x8y5r60s1_5.png,161x8y5r150s0_5.png,161x8y5r180s0_5.png,161x8y5r330s1_5.png,161x8y5r300s1_25.png,161x8y5r30s1_25.png,161x8y5r180s1_5.png,161x8y5r300s1_5.png,161x8y5r210s0_75.png,161x8y5r180s1_0.png,161x8y5r30s1_0.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999996,0.9999999999999999,0.9999999999999996,1.0000000000000004,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0000000000000004,0.9999999999999999,1.0000000000000007,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999999,1.0000000000000007,0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999997,0.9999999999999999,0.9999999999999997,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.9999999999999996,1.0000000000000002,1.0000000000000002,1.0000000000000007,0.9999999999999998,1.0000000000000002,1.0000000000000004,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999997,1.0,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999993,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.9999999999999996,0.9999999999999998,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999994,0.9999999999999994,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999998,0.9999999999999997,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0000000000000004,0.9999999999999997,1.0,1.0,2.904721565901067e-16,2.904721565901067e-16
1_1_1,6.434370551736952e-17,8.834500362468838e-18,4.785544647380785e-18,7.173702255375206e-17,9.771917993725129e-17,2.830086432282227e-17,4.6392486562169014e-17,1.123553108445507e-17,3.5180160796481814e-17,3.7750385978247034e-17,5.680144668653099e-17,7.713592987463275e-17,3.121289027326377e-17,4.0945862135442284e-17,4.747701906598765e-18,5.710164971846914e-17,6.847160925354266e-17,1.4419878554396493e-17,2.862442439902413e-17,4.650579908730902e-17,4.384374060156454e-17,8.604413023371505e-17,5.838873357690753e-17,4.131114793259879e-17,2.7675010135417348e-17,5.2866097149005816e-17,7.272700825895178e-17,3.996348752196056e-17,9.15126941337997e-17,2.515553594411091e-17,1.3518822623990855e-16,5.491279800172143e-17,7.791640833426806e-17,5.4004120433920164e-17,3.9435207720474334e-17,5.334134570015136e-17,4.476358131172396e-17,4.229025522266411e-17,5.5196172959190634e-17,5.105644350899333e-17,4.718095161431601e-17,6.528655854087535e-17,2.5952175529295276e-17,6.483653344384787e-17,3.896677550979107e-17,4.9273466982817326e-17,7.325211175362554e-17,4.5582954793778395e-17,6.828731766720427e-17,6.433799783983715e-17,6.505060137267124e-18,3.833401771729202e-17,1.6349581589857648e-17,2.233093240294343e-17,6.180259762922788e-17,4.765745942819555e-17,1.0983095150793493e-17,6.168286627692328e-17,5.2182125794014106e-17,5.800520864825459e-17,1.9590625134833964e-17,9.01203064102104e-17,6.174736428981579e-17,6.663472433678287e-17,5.3544642348409265e-17,7.823900726172143e-17,6.544020408764772e-17,4.1885981924174166e-17,5.652882713271615e-17,3.283228038390855e-17,4.377344329877334e-17,2.1911798487295083e-17,2.743109248936497e-17,5.0672070774189044e-17,6.659214652273295e-17,7.073004256350955e-17,2.98717496322203e-17,2.9158790413209543e-17,3.7095840730287944e-17,7.36374133607602e-17,3.742732578631847e-17,9.81628206091132e-17,7.914629467417717e-17,1.953608959282658e-17,4.940880225318823e-17,2.3904294080458065e-17,0.48380638652125146
2_0_0,2.9999999999999925,2.999999999999994,2.999999999999991,2.9999999999999956,2.9999999999999942,2.9999999999999933,2.999999999999992,2.9999999999999933,2.9999999999999925,2.9999999999999942,2.999999999999992,2.999999999999994,2.999999999999992,2.999999999999993,2.9999999999999947,2.999999999999992,2.999999999999993,2.9999999999999916,2.9999999999999925,2.999999999999992,2.9999999999999925,2.9999999999999947,2.999999999999993,2.9999999999999942,2.9999999999999925,2.999999999999992,2.999999999999994,2.999999999999993,2.9999999999999947,2.999999999999993,2.9999999999999942,2.999999999999995,2.9999999999999942,2.9999999999999925,2.999999999999994,2.9999999999999942,2.9999999999999947,2.9999999999999916,2.999999999999994,2.999999999999994,2.9999999999999925,2.999999999999993,2.9999999999999933,2.9999999999999925,2.9999999999999933,2.9999999999999942,2.999999999999994,2.999999999999993,2.9999999999999916,2.9999999999999933,2.999999999999992,2.9999999999999925,2.9999999999999916,2.9999999999999916,2.9999999999999933,2.999999999999993,2.9999999999999925,2.9999999999999947,2.9999999999999942,2.9999999999999947,2.999999999999991,2.999999999999994,2.9999999999999933,2.999999999999992,2.9999999999999916,2.9999999999999942,2.999999999999994,2.9999999999999942,2.999999999999993,2.9999999999999907,2.9999999999999925,2.999999999999993,2.999999999999992,2.999999999999993,2.9999999999999947,2.999999999999994,2.9999999999999916,2.9999999999999925,2.999999999999992,2.999999999999995,2.9999999999999925,2.999999999999995,2.999999999999994,2.9999999999999925,2.9999999999999933,1.1280548611355359e-15,3.7601828704517944e-16
2_0_2,8.99999999999996,8.999999999999963,8.99999999999995,8.999999999999968,8.999999999999964,8.999999999999963,8.999999999999956,8.99999999999996,8.999999999999957,8.99999999999996,8.999999999999956,8.999999999999966,8.999999999999954,8.999999999999957,8.999999999999964,8.999999999999956,8.99999999999996,8.999999999999952,8.999999999999957,8.999999999999954,8.999999999999956,8.999999999999966,8.99999999999996,8.999999999999968,8.999999999999957,8.999999999999956,8.999999999999963,8.999999999999956,8.999999999999966,8.999999999999956,8.999999999999964,8.999999999999968,8.999999999999966,8.999999999999957,8.999999999999961,8.999999999999963,8.999999999999963,8.999999999999954,8.999999999999961,8.999999999999957,8.999999999999956,8.999999999999961,8.999999999999957,8.999999999999957,8.999999999999957,8.999999999999961,8.999999999999964,8.999999999999961,8.999999999999956,8.999999999999961,8.999999999999952,8.999999999999956,8.999999999999954,8.999999999999952,8.999999999999961,8.99999999999996,8.999999999999956,8.999999999999964,8.999999999999961,8.999999999999968,8.99999999999995,8.999999999999964,8.999999999999961,8.999999999999956,8.999999999999954,8.999999999999966,8.999999999999961,8.999999999999961,8.999999999999957,8.999999999999948,8.999999999999957,8.999999999999954,8.999999999999954,8.99999999999996,8.999999999999966,8.999999999999964,8.999999999999952,8.999999999999954,8.999999999999952,8.999999999999968,8.999999999999954,8.999999999999966,8.999999999999966,8.999999999999952,8.999999999999961,5.339633601941991e-15,5.932926224380015e-16
2_2_2,1.893099162569639e-31,1.611449415882605e-31,1.999427053011766e-31,1.985590538619237e-31,1.7565233393519178e-31,1.5738106161202475e-31,2.0008189393667296e-31,1.8712592627652239e-31,1.99836879139892e-31,2.134417207622512e-31,2.1007787084777894e-31,1.8650069406300557e-31,1.988392314239742e-31,2.045165827457015e-31,1.7983027116713224e-31,2.106484854325497e-31,2.0959074465690634e-31,2.1072403499296124e-31,2.1934266202943902e-31,2.1827384425637075e-31,2.2174914503702745e-31,1.948986934808128e-31,1.9178661815357782e-31,1.5071225560654152e-31,2.163786821872661e-31,2.0958025583418424e-31,2.0047131049890843e-31,2.2015325936043895e-31,1.8199390656878667e-31,2.000495745157598e-31,1.7391586743383437e-31,1.8862638456023631e-31,1.989454156264583e-31,1.631144726450204e-31,2.005512636919999e-31,1.958059902978308e-31,2.0764989915153367e-31,2.115120650568176e-31,2.1400170725641713e-31,2.1782311668471452e-31,2.1407428161229934e-31,1.8794443583173727e-31,2.0894121160494212e-31,2.0485957913957695e-31,1.981703122163474e-31,1.9888404334142626e-31,1.9986904818209405e-31,2.0238714953378975e-31,2.051903634914538e-31,1.8917280026306308e-31,2.179216102139647e-31,1.982697528676084e-31,1.9263141123124057e-31,2.1869646889960245e-31,2.065574408625607e-31,1.691150571468581e-31,1.7150488365927243e-31,2.071019514946269e-31,2.13844086190847e-31,1.5510576612545134e-31,2.052390739210644e-31,1.726496621502135e-31,1.7852643279502315e-31,2.0341724894662136e-31,1.9545616852595809e-31,1.7802107559559937e-31,1.9256228689114765e-31,2.0999551069370303e-31,2.1194228687490614e-31,2.1496777581891704e-31,2.0355305167737133e-31,2.1803297995179423e-31,2.1200070398146093e-31,2.076085905009544e-31,1.7556989334904483e-31,1.643711138035462e-31,2.1325268925022623e-31,2.1362060687963884e-31,2.0478921839806916e-31,1.8758130513267875e-31,2.136033155422633e-31,1.8407388475075962e-31,1.8594043992464585e-31,2.084833825242077e-31,1.976909653538505e-31,1.6895184144904053e-32,0.0854626012608268
3_1_1,2.5737482206947763e-16,3.5338001449875297e-17,1.91421785895231e-17,2.869480902150077e-16,3.908767197490046e-16,1.132034572912889e-16,1.855699462486757e-16,4.494212433782018e-17,1.4072064318592696e-16,1.5100154391298782e-16,2.2720578674612356e-16,3.085437194985305e-16,1.248515610930548e-16,1.637834485417688e-16,1.8990807626395027e-17,2.2840659887387613e-16,2.7388643701417015e-16,5.767951421758583e-17,1.1449769759609628e-16,1.860231963492357e-16,1.7537496240625778e-16,3.441765209348596e-16,2.335549343076296e-16,1.652445917303949e-16,1.1070004054166913e-16,2.1146438859602287e-16,2.909080330358066e-16,1.598539500878419e-16,3.660507765351982e-16,1.0062214377644344e-16,5.407529049596335e-16,2.196511920068853e-16,3.1166563333707164e-16,2.160164817356803e-16,1.5774083088189704e-16,2.1336538280060503e-16,1.7905432524689547e-16,1.691610208906561e-16,2.207846918367621e-16,2.042257740359729e-16,1.8872380645726368e-16,2.611462341635009e-16,1.038087021171809e-16,2.59346133775391e-16,1.5586710203916399e-16,1.9709386793126893e-16,2.930084470145015e-16,1.8233181917511319e-16,2.7314927066881663e-16,2.5735199135934817e-16,2.602024054906844e-17,1.533360708691678e-16,6.539832635943047e-17,8.932372961177354e-17,2.4721039051691107e-16,1.9062983771278185e-16,4.393238060317389e-17,2.467314651076926e-16,2.0872850317605603e-16,2.32020834593018e-16,7.836250053933568e-17,3.6048122564084104e-16,2.4698945715926277e-16,2.6653889734713097e-16,2.1417856939363666e-16,3.129560290468852e-16,2.617608163505904e-16,1.6754392769669632e-16,2.261153085308642e-16,1.313291215356339e-16,1.7509377319509304e-16,8.764719394918015e-17,1.0972436995745965e-16,2.0268828309675578e-16,2.6636858609093136e-16,2.829201702540377e-16,1.1948699852888093e-16,1.1663516165283793e-16,1.4838336292115148e-16,2.9454965344304035e-16,1.4970930314527355e-16,3.9265128243645217e-16,3.165851786967081e-16,7.814435837130614e-17,1.9763520901275258e-16,9.561717632183213e-17,0.48380638652125163
3_1_3,1.0294992882779087e-15,1.4135200579950097e-16,7.656871435809224e-17,1.1477923608600288e-15,1.5635068789960156e-15,4.528138291651548e-16,7.422797849947014e-16,1.7976849735128033e-16,5.628825727437068e-16,6.0400617565195e-16,9.088231469844925e-16,1.2341748779941196e-15,4.994062443722182e-16,6.551337941670738e-16,7.596323050557996e-17,9.136263954955027e-16,1.0955457480566786e-15,2.3071805687034285e-16,4.579907903843841e-16,7.440927853969413e-16,7.014998496250297e-16,1.3767060837394363e-15,9.34219737230517e-16,6.609783669215786e-16,4.4280016216667554e-16,8.458575543840898e-16,1.1636321321432244e-15,6.3941580035136635e-16,1.4642031061407905e-15,4.024885751057729e-16,2.163011619838531e-15,8.786047680275396e-16,1.2466625333482842e-15,8.640659269427196e-16,6.309633235275869e-16,8.534615312024186e-16,7.162173009875804e-16,6.766440835626232e-16,8.831387673470466e-16,8.169030961438901e-16,7.548952258290532e-16,1.044584936654002e-15,4.1523480846872284e-16,1.0373845351015622e-15,6.234684081566548e-16,7.883754717250744e-16,1.172033788058004e-15,7.293272767004515e-16,1.0925970826752644e-15,1.0294079654373907e-15,1.0408096219627352e-16,6.133442834766698e-16,2.615933054377214e-16,3.5729491844709337e-16,9.888415620676423e-16,7.625193508511261e-16,1.7572952241269525e-16,9.869258604307685e-16,8.349140127042222e-16,9.280833383720706e-16,3.1345000215734204e-16,1.4419249025633618e-15,9.879578286370493e-16,1.066155589388522e-15,8.567142775745452e-16,1.2518241161875387e-15,1.0470432654023598e-15,6.701757107867839e-16,9.044612341234551e-16,5.253164861425345e-16,7.003750927803708e-16,3.5058877579671975e-16,4.388974798298377e-16,8.1075313238702145e-16,1.0654743443637239e-15,1.131680681016149e-15,4.779479941155226e-16,4.665406466113506e-16,5.935334516846048e-16,1.1781986137721592e-15,5.988372125810929e-16,1.5706051297458067e-15,1.2663407147868305e-15,3.125774334852238e-16,7.905408360510088e-16,3.824687052873279e-16,0.4838063865212518
3_3_3,2.6742997818161183e-47,2.6859918756415943e-47,9.720545186017678e-48,3.193110989027933e-47,3.6358364439390223e-47,2.8070967657255787e-47,2.1614007103239004e-47,4.624024492971117e-48,1.6319565711951754e-47,1.9290640361071922e-47,2.834034349927261e-47,3.092090659841585e-47,1.5077515871625833e-47,2.1541728813335725e-47,1.1368183590033071e-47,2.7527210552479284e-47,3.14133947705798e-47,6.6734807979694e-48,1.5267107340182877e-47,2.142813255737126e-47,2.1833311371886927e-47,3.5962054793051138e-47,2.483443633920504e-47,3.588502360823807e-47,1.2451734124627468e-47,2.560858559864077e-47,3.2065096459651745e-47,2.1525480886578128e-47,3.5451793558589734e-47,1.1697025323237746e-47,5.483682386795213e-47,2.5278821177064334e-47,3.450094546356452e-47,2.239578733675021e-47,1.8429754250268802e-47,2.685408501560921e-47,2.362470716169695e-47,2.2105578405204805e-47,2.5958729086838915e-47,2.5264188190491964e-47,2.4028817988379713e-47,2.7274400590773526e-47,1.3498403959718546e-47,3.0901519757173075e-47,2.279496447603398e-47,2.340377331687923e-47,3.2352965835038893e-47,2.286496665436408e-47,3.1468924272800924e-47,2.706179591573443e-47,7.286663948127154e-48,1.7894784412001788e-47,1.3937503351862232e-47,1.1874538435182705e-47,3.0831231888726506e-47,2.7397170949243663e-47,6.478717650072031e-48,2.927604481074583e-47,2.656574994924715e-47,3.1857573714411674e-47,8.871312721900047e-48,3.3599819907641937e-47,2.4717487669095806e-47,3.056275081052813e-47,2.831098494542248e-47,2.998839222445715e-47,2.7411704746792075e-47,2.0555034038153964e-47,2.7843763381675914e-47,1.695064868159831e-47,2.1721893786148668e-47,1.12290614067499e-47,1.269461373085416e-47,2.530091637681563e-47,2.9576340418546945e-47,2.7682085940982963e-47,1.4250741801477403e-47,1.5675352309461083e-47,1.8533382572833573e-47,2.9762479983621374e-47,1.9382999560715467e-47,3.6608969872817344e-47,3.1586455100442775e-47,8.5468212014982e-48,2.354843610587996e-47,8.755266572287358e-48,0.3717982176362531
4_0_0,4.999999999999967,4.999999999999972,4.999999999999961,4.99999999999997,4.999999999999972,4.999999999999972,4.999999999999965,4.999999999999964,4.9999999999999645,4.999999999999966,4.9999999999999645,4.999999999999971,4.999999999999964,4.9999999999999645,4.99999999999997,4.999999999999966,4.999999999999966,4.999999999999958,4.999999999999962,4.999999999999964,4.999999999999964,4.999999999999971,4.999999999999967,4.999999999999972,4.999999999999961,4.9999999999999645,4.999999999999968,4.9999999999999645,4.999999999999971,4.999999999999964,4.999999999999973,4.99999999999997,4.99999999999997,4.999999999999967,4.999999999999965,4.999999999999968,4.999999999999966,4.999999999999964,4.999999999999966,4.999999999999967,4.9999999999999645,4.999999999999969,4.9999999999999645,4.999999999999966,4.999999999999966,4.999999999999968,4.999999999999969,4.999999999999965,4.999999999999964,4.999999999999969,4.999999999999959,4.9999999999999645,4.999999999999963,4.99999999999996,4.999999999999966,4.999999999999967,4.999999999999965,4.999999999999969,4.999999999999967,4.9999999999999725,4.99999999999996,4.999999999999972,4.999999999999969,4.999999999999964,4.999999999999965,4.999999999999971,4.999999999999969,4.999999999999966,4.999999999999966,4.999999999999961,4.9999999999999645,4.999999999999962,4.999999999999961,4.9999999999999645,4.99999999999997,4.9999999999999725,4.999999999999961,4.999999999999962,4.999999999999963,4.999999999999972,4.999999999999964,4.999999999999974,4.999999999999969,4.999999999999961,4.999999999999965,3.743216834345239e-15,7.48643366869053e-16
4_0_2,14.99999999999987,14.999999999999883,14.999999999999845,14.99999999999988,14.999999999999888,14.999999999999885,14.99999999999986,14.999999999999854,14.999999999999858,14.999999999999861,14.99999999999986,14.999999999999881,14.999999999999853,14.999999999999856,14.999999999999876,14.999999999999861,14.999999999999867,14.999999999999837,14.999999999999849,14.999999999999853,14.999999999999854,14.999999999999881,14.999999999999867,14.99999999999989,14.999999999999849,14.999999999999856,14.999999999999872,14.999999999999854,14.999999999999886,14.99999999999985,14.99999999999989,14.999999999999876,14.999999999999877,14.999999999999869,14.999999999999865,14.999999999999872,14.999999999999865,14.99999999999985,14.999999999999865,14.999999999999865,14.999999999999858,14.999999999999876,14.999999999999854,14.999999999999865,14.999999999999861,14.99999999999987,14.999999999999874,14.999999999999863,14.999999999999861,14.999999999999874,14.999999999999838,14.999999999999858,14.999999999999854,14.99999999999984,14.99999999999987,14.999999999999869,14.999999999999858,14.999999999999872,14.999999999999865,14.999999999999893,14.99999999999984,14.999999999999885,14.999999999999874,14.999999999999861,14.999999999999863,14.999999999999883,14.999999999999872,14.999999999999865,14.999999999999863,14.999999999999842,14.99999999999986,14.999999999999845,14.999999999999845,14.99999999999986,14.999999999999885,14.999999999999886,14.999999999999844,14.999999999999849,14.99999999999985,14.999999999999885,14.999999999999853,14.99999999999989,14.999999999999881,14.99999999999984,14.999999999999861,1.4458497151625688e-14,9.63899810108388e-16
