,,,NORMAL,LEGENDRE1,LEGENDRE2
CUPS_TRANSFORMED,CLEAN,,100.0,100.0,96.36363636363636
,GAUSS,1,96.36363636363636,92.72727272727272,90.9090909090909
,,2,98.18181818181819,90.9090909090909,100.0
,,3,100.0,90.9090909090909,100.0
,,5,98.18181818181819,100.0,98.18181818181819
,,7,96.36363636363636,98.18181818181819,100.0
,,9,100.0,98.18181818181819,100.0
,,40,87.27272727272727,80.0,87.27272727272727
,,50,85.45454545454545,80.0,81.81818181818183
,,60,80.0,83.63636363636363,76.36363636363637
,GAUSS_NO_ROUND,1,98.18181818181819,100.0,89.0909090909091
,,2,83.63636363636363,92.72727272727272,83.63636363636363
,,3,76.36363636363637,90.9090909090909,69.0909090909091
,,5,60.0,94.54545454545455,52.72727272727272
,,7,43.63636363636363,98.18181818181819,52.72727272727272
,,9,38.18181818181819,98.18181818181819,32.72727272727273
,,40,9.090909090909092,89.0909090909091,12.727272727272727
,,50,18.181818181818183,76.36363636363637,21.818181818181817
,,60,14.545454545454545,85.45454545454545,7.2727272727272725
,SALT,0.2,92.72727272727272,87.27272727272727,74.54545454545455
,,0.4,87.27272727272727,98.18181818181819,90.9090909090909
,,0.6,92.72727272727272,90.9090909090909,85.45454545454545
,,1,96.36363636363636,94.54545454545455,96.36363636363636
,,2,100.0,100.0,98.18181818181819
,,3,98.18181818181819,100.0,100.0
,,5,94.54545454545455,90.9090909090909,85.45454545454545
,,10,96.36363636363636,83.63636363636363,89.0909090909091
,,15,98.18181818181819,90.9090909090909,92.72727272727272
COIL_TRANSFORMED,CLEAN,,100.0,100.0,100.0
,GAUSS,1,100.0,100.0,96.61016949152543
,,2,100.0,100.0,100.0
,,3,100.0,100.0,100.0
,,5,88.13559322033898,98.30508474576271,98.30508474576271
,,7,94.91525423728814,93.22033898305084,98.30508474576271
,,9,94.91525423728814,86.4406779661017,93.22033898305084
,,40,96.61016949152543,86.4406779661017,84.7457627118644
,,50,89.83050847457628,74.57627118644068,76.27118644067797
,,60,83.05084745762711,77.96610169491525,69.49152542372882
,GAUSS_NO_ROUND,1,100.0,100.0,98.30508474576271
,,2,98.30508474576271,100.0,100.0
,,3,98.30508474576271,100.0,96.61016949152543
,,5,91.52542372881356,100.0,96.61016949152543
,,7,94.91525423728814,100.0,93.22033898305084
,,9,79.66101694915254,100.0,83.05084745762711
,,40,45.76271186440678,93.22033898305084,47.45762711864407
,,50,27.11864406779661,69.49152542372882,32.20338983050847
,,60,42.3728813559322,91.52542372881356,42.3728813559322
,SALT,0.2,100.0,100.0,96.61016949152543
,,0.4,100.0,100.0,100.0
,,0.6,100.0,100.0,100.0
,,1,100.0,100.0,100.0
,,2,100.0,96.61016949152543,100.0
,,3,100.0,93.22033898305084,93.22033898305084
,,5,94.91525423728814,88.13559322033898,91.52542372881356
,,10,100.0,100.0,100.0
,,15,100.0,93.22033898305084,100.0
COIL_ROTATED,CLEAN,,100.0,100.0,100.0
,GAUSS,40,100.0,100.0,100.0
,,50,100.0,96.07843137254902,96.07843137254902
,,60,98.0392156862745,98.0392156862745,100.0
,,70,98.0392156862745,100.0,100.0
,,80,100.0,100.0,100.0
,,90,100.0,100.0,96.07843137254902
,,100,100.0,100.0,96.07843137254902
,,110,98.0392156862745,94.11764705882352,98.0392156862745
,,120,92.15686274509804,94.11764705882352,98.0392156862745
,GAUSS_NO_ROUND,40,96.07843137254902,98.0392156862745,98.0392156862745
,,50,94.11764705882352,98.0392156862745,92.15686274509804
,,60,76.47058823529412,100.0,84.31372549019608
,,70,76.47058823529412,100.0,90.19607843137256
,,80,78.43137254901961,100.0,82.35294117647058
,,90,68.62745098039215,100.0,84.31372549019608
,,100,66.66666666666666,100.0,78.43137254901961
,,110,76.47058823529412,94.11764705882352,72.54901960784314
,,120,62.745098039215684,96.07843137254902,78.43137254901961
,SALT,5,100.0,100.0,100.0
,,10,100.0,100.0,100.0
,,15,100.0,100.0,100.0
,,20,100.0,100.0,100.0
,,25,100.0,100.0,100.0
,,30,100.0,100.0,100.0
