,,,NORMAL,LEGENDRE1,LEGENDRE2,FOURIER_INT,FOURIER_ORIGINAL
COIL_ROTATED,CLEAN,,100.0,100.0,100.0,100.0,100.0
,GAUSS,80,96.52777777777779,97.22222222222221,97.12301587301587,100.0,100.0
,,90,96.52777777777779,97.42063492063492,98.61111111111111,100.0,100.0
,,100,98.01587301587301,97.61904761904762,98.90873015873017,100.0,100.0
,,110,96.62698412698413,99.70238095238095,93.15476190476191,100.0,100.0
,,120,96.72619047619048,96.13095238095238,96.32936507936508,100.0,100.0
,GAUSS_NO_ROUND,80,76.09126984126983,97.12301587301587,80.45634920634922,100.0,100.0
,,90,73.51190476190477,97.91666666666666,83.82936507936508,100.0,100.0
,,100,69.24603174603175,97.81746031746032,79.46428571428571,100.0,100.0
,,110,69.54365079365078,99.70238095238095,69.94047619047619,100.0,100.0
,,120,64.88095238095238,96.52777777777779,72.12301587301587,100.0,100.0
,SALT,5,100.0,100.0,100.0,100.0,100.0
,,10,100.0,100.0,100.0,100.0,100.0
,,15,100.0,100.0,100.0,100.0,100.0
,,20,100.0,100.0,100.0,100.0,100.0
,,25,100.0,100.0,100.0,100.0,100.0
,,30,100.0,100.0,100.0,100.0,100.0
