,,,NORMAL,LEGENDRE1,LEGENDRE2,FOURIER_INT,FOURIER_ORIGINAL
COIL_ROTATED,GAUSS,140,93.05555555555556,88.39285714285714,91.56746031746032,100.0,100.0
COIL_ROTATED,,160,93.05555555555556,89.18650793650794,88.98809523809523,100.0,100.0
COIL_ROTATED,,180,90.57539682539682,90.37698412698413,84.02777777777779,100.0,100.0
COIL_ROTATED,,200,88.88888888888889,81.4484126984127,77.77777777777779,100.0,99.90079365079364
,GAUSS_NO_ROUND,140,62.40079365079365,91.66666666666666,64.88095238095238,100.0,100.0
,,160,55.25793650793651,92.7579365079365,65.07936507936508,100.0,100.0
,,180,54.662698412698404,92.06349206349206,60.019841269841265,100.0,99.90079365079364
,,200,47.71825396825397,86.5079365079365,42.46031746031746,100.0,99.8015873015873
,SALT,40,100.0,100.0,100.0,100.0,100.0
,,50,100.0,100.0,100.0,100.0,100.0
,,60,100.0,100.0,100.0,99.90079365079364,99.70238095238095
,,75,91.46825396825396,100.0,100.0,99.0079365079365,96.13095238095238
