,,,QFMRI_INT,QFMRI_ORIGINAL
COIL_ROTATED,CLEAN,,100.0,100.0
,GAUSS,80,99.10714285714286,98.21428571428571
,,90,97.51984126984127,95.73412698412699
,,100,96.42857142857143,92.95634920634922
,,110,97.12301587301587,90.97222222222221
,,120,94.04761904761905,92.46031746031747
,GAUSS_NO_ROUND,80,97.51984126984127,99.60317460317461
,,90,97.02380952380952,92.46031746031747
,,100,96.62698412698413,97.02380952380952
,,110,96.92460317460318,95.23809523809523
,,120,96.62698412698413,89.18650793650794
,SALT,5,100.0,100.0
,,10,100.0,100.0
,,15,100.0,100.0
,,20,99.70238095238095,99.70238095238095
,,25,100.0,99.90079365079364
,,30,100.0,97.12301587301587
